norm_time,Character_status,ecg,hr,rr,marker
0.0,Walk,0.061,95.0,,
0.00769395,Walk,0.048,,,
0.0153879,Walk,0.048,,,
0.02308185,Walk,0.036,,,
0.0307758,Walk,0.009,,,
0.03846975,Walk,0.0,,,
0.0461637,Walk,0.002,,,
0.05385765,Walk,0.051,,,
0.0615516,Walk,0.097,,,
0.06924555,Walk,0.08,,,
0.0769395,Walk,0.056,,,
0.083,Walk,,,,
0.08463345,Walk,0.051,,,
0.0923274,Walk,0.068,,,
0.10002135,Walk,0.078,,,
0.1077153,Walk,0.07,,,
0.11540925,Walk,0.078,,,
0.1231032,Walk,0.075,,,
0.13079715,Walk,0.063,,613.0,
0.1384911,Walk,0.051,,,
0.14618505,Walk,-0.051,,,
0.153879,Walk,-0.156,,,
0.16157295,Walk,0.085,,,
0.166,Walk,,,,
0.1692669,Walk,0.926,,,
0.17696085,Walk,1.858,,,
0.1846548,Walk,1.772,,,
0.19234875,Walk,0.655,,,
0.2000427,Walk,-0.139,,,
0.20773665,Walk,-0.073,,,
0.2154306,Walk,0.024,,,
0.22312455,Walk,-0.134,,,
0.2308185,Walk,-0.136,,,
0.23851245,Walk,-0.048,,,
0.2462064,Walk,-0.078,,,
0.248,Walk,,,,
0.25390035,Walk,-0.08,,,
0.2615943,Walk,-0.036,,,
0.26928825,Walk,-0.034,,,
0.2769822,Walk,-0.026,,,
0.28467615,Walk,-0.012,,,
0.2923701,Walk,0.002,,,
0.30006405,Walk,0.014,,,
0.307758,Walk,0.014,,,
0.31545195,Walk,0.031,,,
0.3231459,Walk,0.044,,,
0.33083985,Walk,0.046,,,
0.332,Walk,,,,
0.3385338,Walk,0.061,,,
0.34622775,Walk,0.066,,,
0.3539217,Walk,0.078,,,
0.36161565,Walk,0.09,,,
0.3693096,Walk,0.088,,,
0.37700355,Walk,0.095,,,
0.3846975,Walk,0.09,,,
0.39239145,Walk,0.088,,,
0.4000854,Walk,0.097,,,
0.40777935,Walk,0.095,,,
0.415,Walk,,,,
0.4154733,Walk,0.092,,,
0.42316725,Walk,0.061,,,
0.4308612,Walk,0.031,,,
0.43855515,Walk,0.031,,,
0.4462491,Walk,0.014,,,
0.45394305,Walk,0.004,,,
0.461637,Walk,0.004,,,
0.46933095,Walk,0.004,,,
0.4770249,Walk,0.019,,,
0.48471885,Walk,0.019,,,
0.4924128,Walk,0.017,,,
0.498,Walk,,,,
0.50010675,Walk,0.034,,,
0.5078007,Walk,0.034,,,
0.51549465,Walk,0.039,,,
0.5231886,Walk,0.041,,,
0.53088255,Walk,0.044,,,
0.5385765,Walk,0.048,,,
0.54627045,Walk,0.034,,,
0.5539644,Walk,0.034,,,
0.56165836,Walk,0.036,,,
0.569352728,Walk,0.034,,,
0.577047096,Walk,0.044,,,
0.581,Walk,,,,
0.584741464,Walk,0.036,,,
0.592435832,Walk,0.039,,,
0.6001302,Walk,0.044,,,
0.607824568,Walk,0.022,,,
0.615518936,Walk,0.022,,,
