norm_time,Character_status,ecg,hr,rr,marker
0.0,Walk,0.041,,,
0.007694368,Walk,0.068,,,
0.015388736,Walk,0.058,,,
0.023083104,Walk,0.058,,,
0.030777472,Walk,0.039,,,
0.03847184,Walk,0.029,,,
0.046166208,Walk,0.066,,,
0.053860576,Walk,0.046,,,
0.061554944,Walk,0.039,,,
0.069249312,Walk,0.039,,,
0.07694368,Walk,0.012,,,
0.083,Walk,,,,
0.084638048,Walk,0.036,,,
0.092332416,Walk,0.029,,,
0.100026784,Walk,0.031,,,
0.107721152,Walk,0.061,,,
0.11541552,Walk,0.036,,,
0.123109888,Walk,0.031,,,
0.130804256,Walk,0.014,,,
0.138498624,Walk,-0.009,,,
0.146192992,Walk,0.004,,,
0.15388736,Walk,0.002,,,
0.161581728,Walk,0.063,,,
0.165,Walk,,,,
0.169276096,Walk,0.1,,,
0.176970464,Walk,0.053,,,
0.184664832,Walk,0.053,,,
0.1923592,Walk,0.051,,,
0.200053568,Walk,0.053,,,
0.207747936,Walk,0.063,,,
0.215442304,Walk,0.046,,,
0.223136672,Walk,0.085,,,
0.23083104,Walk,0.088,,,
0.238525408,Walk,0.051,,,
0.246219776,Walk,0.029,,,
0.248,Walk,,,,
0.253914144,Walk,-0.097,,,
0.261608512,Walk,-0.11,,,
0.26930288,Walk,0.349,,,
0.276997248,Walk,1.286,,,
0.284691616,Walk,1.934,,,
0.292385984,Walk,1.315,,,
0.300080352,Walk,0.144,,,
0.30777472,Walk,-0.171,,,
0.315469088,Walk,0.053,,,
0.323163456,Walk,0.002,,,
0.330857824,Walk,-0.144,,,
0.333,Walk,,,,
0.338552192,Walk,-0.075,,,
0.34624656,Walk,-0.004,,,
0.353940928,Walk,-0.068,,,
0.361635296,Walk,-0.048,,,
0.369329664,Walk,0.0,,,
0.377024032,Walk,-0.014,,,
0.3847184,Walk,0.009,,,
0.392412768,Walk,0.007,,,
0.400107136,Walk,0.007,,,
0.407801504,Walk,0.048,,,
0.415495872,Walk,0.046,,,
0.416,Walk,,,,
0.42319024,Walk,0.07,,,
0.430884608,Walk,0.088,,,
0.438578976,Walk,0.09,,,
0.446273344,Walk,0.122,,,
0.453967712,Walk,0.11,,,
0.46166208,Walk,0.129,,,
0.469356448,Walk,0.154,,,
0.477050816,Walk,0.136,,,
0.484745184,Walk,0.163,,,
0.492439552,Walk,0.158,,,
0.499,Walk,,,,
0.50013392,Walk,0.163,,,
0.507828288,Walk,0.183,,,
0.515522656,Walk,0.134,,,
0.523217024,Walk,0.117,,,
0.530911392,Walk,0.085,,,
0.53860576,Walk,0.041,,,
0.546300128,Walk,0.058,,,
0.553994496,Walk,0.044,,,
0.561688876,Walk,0.039,93.0,601.0,
0.569383244,Walk,0.029,,581.0,
0.577077612,Walk,0.004,,,
0.582,Walk,,,,
0.58477198,Walk,0.044,,,
0.592466348,Walk,0.046,,,
0.600160716,Walk,0.036,,,
0.607855084,Walk,0.056,,,
0.615549452,Walk,0.039,,,
0.62324382,Walk,0.048,,,
0.630938188,Walk,0.036,,,
0.638632556,Walk,0.026,,,
0.646326924,Walk,0.061,,,
0.654021292,Walk,0.036,,,
0.66171566,Walk,0.024,,,
0.665,Walk,,,,
0.669410028,Walk,0.031,,,
0.677104396,Walk,0.019,,,
0.684798764,Walk,0.051,,,
0.692493132,Walk,0.044,,,
0.7001875,Walk,0.039,,,
0.707881868,Walk,0.058,,,
0.715576236,Walk,0.026,,,
0.723270604,Walk,0.044,,,
0.730964972,Walk,0.053,,,
0.73865934,Walk,0.029,,,
0.746353708,Walk,0.039,,,
0.749,Walk,,,,
0.754048076,Walk,0.009,,,
0.761742444,Walk,0.019,,,
0.769436812,Walk,0.058,,,
0.77713118,Walk,0.066,,,
0.784825548,Walk,0.092,,,
0.792519916,Walk,0.068,,,
0.800214284,Walk,0.048,,,
0.807908652,Walk,0.066,,,
0.81560302,Walk,0.036,,,
0.823297388,Walk,0.048,,,
0.830991756,Walk,0.056,,,
0.832,Walk,,,,
0.838686124,Walk,0.044,,,
0.846380492,Walk,0.063,,,
0.85407486,Walk,0.041,,,
0.861769228,Walk,-0.009,,,
0.869463596,Walk,-0.124,,,
0.877157964,Walk,-0.078,,,
0.884852332,Walk,0.584,,,
0.8925467,Walk,1.587,,,
0.900241068,Walk,1.917,,,
0.907935436,Walk,0.99,,,
0.915629804,Walk,-0.097,,,
0.916,Walk,,,,
0.923324172,Walk,-0.134,,,
0.93101854,Walk,0.1,,,
0.938712908,Walk,-0.07,,,
0.946407276,Walk,-0.132,,,
0.954101644,Walk,-0.048,,,
0.961796012,Walk,-0.036,,,
0.96949038,Walk,-0.051,,,
0.977184748,Walk,-0.034,,,
0.984879116,Walk,0.0,,,
