norm_time,Character_status,ecg,hr,rr,marker
0.0,Walk,0.031,87.0,684.0,
0.007695622,Walk,0.036,,687.0,
0.015391244,Walk,0.036,,,
0.023086866,Walk,0.033,,,
0.030782488,Walk,0.033,,,
0.03847811,Walk,0.031,,,
0.046173732,Walk,0.028,,,
0.053869354,Walk,0.031,,,
0.061564976,Walk,0.031,,,
0.069260598,Walk,0.021,,,
0.07695622,Walk,0.014,,,
0.083,Walk,,,,
0.084651842,Walk,0.021,,,
0.092347464,Walk,0.033,,,
0.100043086,Walk,0.031,,,
0.107738708,Walk,0.024,,,
0.11543433,Walk,0.019,,,
0.123129952,Walk,0.014,,,
0.130825574,Walk,0.016,,,
0.138521196,Walk,0.024,,,
0.146216818,Walk,0.052,,,
0.15391244,Walk,0.088,,,
0.161608062,Walk,0.101,,,
0.166,Walk,,,,
0.169303684,Walk,0.11,,,
0.176999306,Walk,0.117,,,
0.184694928,Walk,0.093,,,
0.19239055,Walk,0.057,,,
0.200086172,Walk,0.048,,,
0.207781794,Walk,0.062,,,
0.215477416,Walk,0.069,,,
0.223173038,Walk,0.069,,,
0.23086866,Walk,0.079,,,
0.238564282,Walk,0.086,,,
0.246259904,Walk,0.081,,,
0.25,Walk,,,,
0.253955526,Walk,0.081,,,
0.261651148,Walk,0.141,,,
0.26934677,Walk,0.428,,,
0.277042392,Walk,0.995,,,
0.284738014,Walk,1.226,,,
0.292433636,Walk,0.375,,,
0.300129258,Walk,-0.682,,,
0.30782488,Walk,-0.606,,,
0.315520502,Walk,-0.074,,,
0.323216124,Walk,-0.019,,,
0.330911746,Walk,-0.036,,,
0.333,Walk,,,,
0.338607368,Walk,0.086,,,
0.34630299,Walk,0.115,,,
0.353998612,Walk,0.113,,,
0.361694234,Walk,0.156,,,
0.369389856,Walk,0.17,,,
0.377085478,Walk,0.168,,,
0.3847811,Walk,0.18,,,
0.392476722,Walk,0.192,,,
0.400172344,Walk,0.199,,,
0.407867966,Walk,0.218,,,
0.415563588,Walk,0.242,,,
0.417,Walk,,,,
0.42325921,Walk,0.252,,,
0.430954832,Walk,0.259,,,
0.438650454,Walk,0.278,,,
0.446346076,Walk,0.305,,,
0.454041698,Walk,0.322,,,
0.46173732,Walk,0.331,,,
0.469432942,Walk,0.339,,,
0.477128564,Walk,0.339,,,
0.484824186,Walk,0.329,,,
0.492519808,Walk,0.315,,,
0.5,Walk,,,,
0.50021543,Walk,0.293,,,
0.507911052,Walk,0.274,,,
0.515606674,Walk,0.254,,,
0.523302296,Walk,0.221,,,
0.530997918,Walk,0.185,,,
0.53869354,Walk,0.153,,,
0.546389162,Walk,0.115,,,
0.554084784,Walk,0.076,,,
0.56178043,Walk,0.04,,,
0.569476052,Walk,0.012,,,
0.577171674,Walk,-0.009,,,
0.583,Walk,,,,
0.584867296,Walk,-0.021,,,
0.592562918,Walk,-0.016,,,
0.60025854,Walk,-0.004,,,
0.607954162,Walk,-0.004,,,
0.615649784,Walk,-0.002,,,
0.623345406,Walk,0.007,,,
0.631041028,Walk,0.016,,,
0.63873665,Walk,0.014,,,
0.646432272,Walk,0.007,,,
0.654127894,Walk,0.016,,,
0.661823516,Walk,0.024,,,
0.666,Walk,,,,
0.669519138,Walk,0.024,,,
0.67721476,Walk,0.028,,,
0.684910382,Walk,0.033,,,
0.692606004,Walk,0.033,,,
0.700301626,Walk,0.031,,,
0.707997248,Walk,0.031,,,
0.71569287,Walk,0.038,,,
0.723388492,Walk,0.038,,,
0.731084114,Walk,0.028,,,
0.738779736,Walk,0.028,,,
0.746475358,Walk,0.036,,,
0.749,Walk,,,,
0.75417098,Walk,0.038,,,
0.761866602,Walk,0.038,,,
0.769562224,Walk,0.036,,,
0.777257846,Walk,0.028,,,
0.784953468,Walk,0.028,,,
0.79264909,Walk,0.028,,,
0.800344712,Walk,0.014,,,
0.808040334,Walk,0.007,,,
0.815735956,Walk,0.028,,,
0.823431578,Walk,0.067,,,
0.8311272,Walk,0.088,,,
0.833,Walk,,,,
0.838822822,Walk,0.096,,,
0.846518444,Walk,0.098,,,
0.854214066,Walk,0.079,,,
0.861909688,Walk,0.05,,,
0.86960531,Walk,0.045,,,
0.877300932,Walk,0.06,,,
0.884996554,Walk,0.064,,,
0.892692176,Walk,0.05,,,
0.900387798,Walk,0.05,,,
0.90808342,Walk,0.064,,,
0.915779042,Walk,0.064,,,
0.917,Walk,,,,
0.923474664,Walk,0.062,,,
0.931170286,Walk,0.108,,,
0.938865908,Walk,0.331,,,
0.94656153,Walk,0.86,,,
0.954257152,Walk,1.185,,,
0.961952774,Walk,0.456,,,
0.969648396,Walk,-0.639,,,
