Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1715827532698,1481.241,Cow_boy,-6.000124,-1.0,0.09986936,Idle,,,-6.051318,-0.0956471,0.3897476,-5.95051,-0.09170836,-0.1624622,-0.2019325,0.7023414,0.10227,,0.0,0.0,,,0.0316104589851812,0.0252123446011379,0.0004615563713558,0.057284359957675,1.253769115298962,0.5518165692788899,0.4401261464694071,-3.68042153928499,0.0
1715827532782,1481.324,Cow_boy,-5.916456,-1.001256,0.09987141,Idle,,,-5.948749,-0.09227031,0.4029016,-5.863044,-0.08417267,-0.1752416,-0.2018787,0.7038639,0.1046066,,0.084,0.1,,,0.0303713659894574,0.0252055264665897,0.0005414216548644,0.0561183141109117,1.2293589005225627,0.5412023948087924,0.4491497448903006,-3.680692004278664,0.1
1715827532866,1481.407,Cow_boy,-5.83355,-1.0025,0.09987343,Idle,,,-5.910896,-0.0950498,0.4052127,-5.702514,-0.04482782,-0.2051368,-0.2003349,0.7066141,0.1116824,,0.168,0.2,,,0.0307105477714827,0.0259877055465424,0.0005521388733312,0.0572503921913564,1.2134838380614277,0.5364251072522671,0.4539306116834962,-3.650131716390421,0.2
1715827532949,1481.491,Cow_boy,-5.749824,-1.003757,0.09987549,Idle,,,-5.916319,-0.1172382,0.3825771,-5.505584,0.01511657,-0.2280373,-0.1986576,0.708567,0.1197628,,0.251,0.3,,,0.0307105477714827,0.0259877055465424,0.0005521388733312,0.0572503921913564,1.2055463068308605,0.5364251072522671,0.4539306116834962,-3.650131716390421,0.3
1715827533033,1481.575,Cow_boy,-5.665924,-1.005016,0.09987748,Idle,,,-5.830899,-0.1436552,0.3773099,-5.394722,0.02544272,-0.2124986,-0.1975461,0.7097234,0.1271387,,0.335,0.3,,,0.0307105477714827,0.0259877055465424,0.0005521388733312,0.0572503921913564,1.2055463068308605,0.5364251072522671,0.4539306116834962,-3.650131716390421,0.3
1715827533116,1481.659,Cow_boy,-5.581653,-1.006281,0.09987951,Idle,,,-5.681164,-0.1401796,0.4162978,-5.383155,0.0009274483,-0.1857603,-0.1963811,0.7106805,0.1338291,,0.418,0.4,,,0.0307105477714827,0.0259877055465424,0.0005521388733312,0.0572503921913564,1.2007837880925198,0.5364251072522671,0.4539306116834962,-3.650131716390421,0.4
1715827533199,1481.742,Cow_boy,-5.499081,-1.00752,0.09988157,Idle,,,-5.527962,-0.1182343,0.4796084,-5.421015,-0.04315251,-0.1407656,-0.1951307,0.7114505,0.1397366,,0.501,0.5,,,0.0307105477714827,0.0259877055465424,0.0005521388733312,0.0572503921913564,1.1976087756002929,0.5364251072522671,0.4539306116834962,-3.650131716390421,0.5
1715827533283,1481.825,Cow_boy,-5.415684,-1.008772,0.09988359,Idle,,,-5.353549,-0.06383425,0.5138335,-5.458696,-0.07637817,-0.1144855,-0.1941124,0.7120622,0.1449752,,0.585,0.6,,,0.0307105477714827,0.0259877055465424,0.0005521388733312,0.0572503921913564,1.195340909534416,0.5364251072522671,0.4539306116834962,-3.650131716390421,0.6
1715827533366,1481.908,Cow_boy,-5.332775,-1.010016,0.09988562,Idle,,,-5.173548,0.005867243,0.5094634,-5.483455,-0.08668184,-0.1049536,-0.1935392,0.7130327,0.1489562,,0.668,0.7,,,0.0307105477714827,0.0259877055465424,0.0005521388733312,0.0572503921913564,1.1936400099850089,0.5364251072522671,0.4539306116834962,-3.650131716390421,0.7
1715827533450,1481.992,Cow_boy,-5.249222,-1.01127,0.09988759,Idle,,,-5.013011,0.04493952,0.5116678,-5.476784,-0.0973317,-0.07900658,-0.193305,0.7134935,0.1510439,,0.752,0.8,,,0.0307105477714827,0.0259877055465424,0.0005521388733312,0.0572503921913564,1.1923170881132477,0.5364251072522671,0.4539306116834962,-3.650131716390421,0.8
1715827533533,1482.076,Cow_boy,-5.164782,-1.012538,0.09988961,Idle,,,-4.894778,0.04276919,0.5283643,-5.411011,-0.1123577,-0.05914833,-0.1927185,0.7138215,0.151428,,0.835,0.8,,,0.0307105477714827,0.0259877055465424,0.0005521388733312,0.0572503921913564,1.1923170881132477,0.5364251072522671,0.4539306116834962,-3.650131716390421,0.8
1715827533617,1482.159,Cow_boy,-5.081802,-1.013783,0.09989164,Idle,,,-4.832935,0.01658785,0.5137756,-5.28722,-0.1081507,-0.09965762,-0.1913605,0.7141314,0.149167,,0.919,0.9,,,0.0305804513210356,0.0271205214987555,0.0005483383778485,0.0582493111976396,1.1858429873089773,0.5249924967743612,0.4655938575262409,-3.6074645867896784,0.9
1715827533701,1482.243,Cow_boy,-4.99775,-1.015045,0.09989367,Idle,,,-4.811705,-0.03030801,0.4708221,-5.108071,-0.1045141,-0.1698301,-0.1896066,0.7151029,0.1452353,,1.003,1.0,,,0.0305804513210356,0.0271205214987555,0.0005483383778485,0.0582493111976396,1.1805459957418467,0.5249924967743612,0.4655938575262409,-3.6074645867896784,1.0
