Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1715932831481,471.2225,Robot Kyle,-6.00012,-1.0,0.09986936,Idle,,,-6.040833,-0.100647,0.3824806,-5.934165,-0.09601915,-0.1505102,-0.009637279,0.4440797,0.1229996,,0.0,0.0,,,0.0165432613969164,0.0102457091549897,0.0002418041410584,0.0270307746929646,1.6146526459673751,0.6120158073465115,0.3790386798516896,-4.580896280068511,0.0
1715932831564,471.3049,Robot Kyle,-5.917649,-1.001238,0.09987137,Idle,,,-5.934241,-0.09695154,0.3932552,-5.844014,-0.0879066,-0.1600746,-0.008853028,0.4440402,0.1235369,,0.083,0.1,,,0.0167835653455534,0.010433571287973,0.0002781225325521,0.0274952591660787,1.611632196893812,0.6104166992635441,0.3794680102832084,-4.5627266632102526,0.1
1715932831648,471.3878,Robot Kyle,-5.834815,-1.002481,0.0998734,Idle,,,-5.89234,-0.1013247,0.3900547,-5.674021,-0.0474112,-0.1867359,-0.008087363,0.4441435,0.1240439,,0.167,0.2,,,0.0168300423919089,0.0104725335711083,0.0002831550763555,0.0275857310393728,1.6101098052007945,0.6100995608159755,0.3796358906044932,-4.558999299504078,0.2
1715932831731,471.4713,Robot Kyle,-5.751324,-1.003734,0.09987543,Idle,,,-5.893847,-0.1263025,0.362697,-5.47525,0.01119089,-0.2095675,-0.007551368,0.4442566,0.124561,,0.25,0.2,,,0.0168300423919089,0.0104725335711083,0.0002831550763555,0.0275857310393728,1.6101098052007945,0.6100995608159755,0.3796358906044932,-4.558999299504078,0.2
1715932831813,471.5548,Robot Kyle,-5.667796,-1.004988,0.09987742,Idle,,,-5.803706,-0.1527146,0.3539861,-5.357244,0.02298117,-0.1934118,-0.007835592,0.446234,0.1249348,,0.332,0.3,,,0.0168300423919089,0.0104725335711083,0.0002831550763555,0.0275857310393728,1.609348609354286,0.6100995608159755,0.3796358906044932,-4.558999299504078,0.3
1715932831897,471.6383,Robot Kyle,-5.584361,-1.00624,0.09987945,Idle,,,-5.654145,-0.143618,0.3948851,-5.340303,8.845329e-05,-0.1656471,-0.007325958,0.4488806,0.1245975,,0.416,0.4,,,0.0168300423919089,0.0104725335711083,0.0002831550763555,0.0275857310393728,1.6088918918463804,0.6100995608159755,0.3796358906044932,-4.558999299504078,0.4
1715932831980,471.7214,Robot Kyle,-5.501226,-1.007488,0.09988145,Idle,,,-5.505827,-0.1187686,0.4633937,-5.380984,-0.0456146,-0.122537,-0.007006243,0.452023,0.1239309,,0.499,0.5,,,0.0168300423919089,0.0104725335711083,0.0002831550763555,0.0275857310393728,1.6085874135077771,0.6100995608159755,0.3796358906044932,-4.558999299504078,0.5
1715932832064,471.8047,Robot Kyle,-5.417897,-1.008739,0.09988347,Idle,,,-5.325963,-0.06443316,0.4949724,-5.431342,-0.07799888,-0.09862258,-0.007128936,0.4555123,0.1237412,,0.583,0.6,,,0.0168300423919089,0.0104725335711083,0.0002831550763555,0.0275857310393728,1.6083699289802031,0.6100995608159755,0.3796358906044932,-4.558999299504078,0.6
1715932832147,471.8884,Robot Kyle,-5.334248,-1.009994,0.09988556,Idle,,,-5.137958,0.01117325,0.4847383,-5.466264,-0.08797276,-0.08173757,-0.006707665,0.4586222,0.1237907,,0.666,0.7,,,0.009186825975972,0.011130897740965,0.0001187786201069,0.020436502337044,1.5104917587285671,0.4495302485944301,0.5446576697612652,-4.498030457381895,0.7
1715932832231,471.9714,Robot Kyle,-5.251239,-1.01124,0.09988759,Idle,,,-4.975481,0.05721772,0.4849854,-5.46127,-0.1004356,-0.05066391,-0.005812351,0.4610244,0.1239717,,0.75,0.8,,,0.009186825975972,0.011130897740965,0.0001187786201069,0.020436502337044,1.434364292977295,0.4495302485944301,0.5446576697612652,-4.498030457381895,0.8
