norm_time,CharacterStatus,ECG,HR,RR,Marker
0.0,,0.049,96.0,581.0,
0.007699968,,0.017,,689.0,
0.015400192,,-0.002,,,
0.02310016,,0.057,,,
0.030800128,,0.059,,,
0.038500096,,0.049,,,
0.046200064,,0.087,,,
0.053890048,,0.106,,,
0.061590016,,0.099,,,
0.069289984,,0.101,,,
0.076989952,,0.091,,,
0.084690176,,0.079,,,
0.092390144,,0.119,,,
0.100090112,,0.169,,,
0.10779008,,0.176,,,
0.115480064,,0.193,,,
0.123180032,,0.246,,,
0.13088,,0.256,,,
0.138579968,,0.193,,,
0.146280192,,0.156,,,
0.15398016,,0.183,,,
0.161680128,,0.183,,,
0.169370112,,0.131,,,
0.17707008,,0.082,,,
0.184770048,,0.054,,,
0.192470016,,0.034,,,
0.200169984,,0.007,,,
0.207869952,,-0.049,,,
0.215570176,,-0.096,,,
0.22326016,,-0.089,,,
0.230960128,,-0.054,,,
0.238660096,,-0.042,,,
0.246360064,,-0.039,,,
0.254060032,,-0.027,,,
0.26176,,-0.002,,,
0.269459968,,0.004,,,
0.277150208,,-0.014,,,
0.284850176,,-0.029,,,
0.292550144,,0.0,,,
0.300250112,,0.019,,,
0.30795008,,-0.004,,,
0.315650048,,-0.014,,,
0.323350016,,-0.009,,,
0.331049984,,-0.027,,,
0.338739968,,-0.057,,,
0.346440192,,-0.082,,,
0.35414016,,-0.087,,,
0.361840128,,-0.087,,,
0.369540096,,-0.082,,,
0.377240064,,-0.059,,,
0.384940032,,-0.039,,,
0.392630016,,-0.034,,,
0.400329984,,-0.044,,,
0.408030208,,-0.062,,,
0.415730176,,-0.049,,,
0.423430144,,-0.024,,,
0.431130112,,-0.037,,,
0.43883008,,-0.027,,,
0.446520064,,0.019,,,
0.454220032,,0.022,,,
0.46192,,-0.012,,,
0.469619968,,-0.007,,,
0.477320192,,0.024,,,
0.48502016,,0.029,,,
0.492720128,,0.012,,,
0.500410112,,0.019,,,
0.50811008,,0.037,,,
0.515810048,,0.022,,,
0.523510016,,-0.014,,,
0.531209984,,0.079,,,
0.538910208,,0.527,,,
0.546610176,,1.195,,,
0.554310144,,1.546,,,
0.562000128,,1.031,,,
0.569700096,,0.059,,,
0.577400064,,-0.198,,,
0.585100032,,0.074,,,
0.5928,,-0.017,,,
0.600489984,,-0.164,,,
0.608189952,,-0.044,,,
0.615890176,,0.002,,,
0.623590144,,-0.039,,,
0.631290112,,-0.019,,,
0.63899008,,0.0,,,
0.646680064,,0.004,,,
0.654380032,,0.027,,,
0.66208,,0.039,,,
0.669779968,,0.064,,,
0.677480192,,0.111,,,
0.685170176,,0.131,,,
0.692870144,,0.111,,,
0.700570112,,0.119,,,
0.70827008,,0.181,,,
0.715970048,,0.226,,,
0.723670016,,0.218,,,
0.73136,,0.221,,,
0.739059968,,0.238,,,
0.746760192,,0.216,,,
0.75446016,,0.206,,,
0.762160128,,0.226,,,
0.769860096,,0.198,,,
0.77755008,,0.136,,,
0.785250048,,0.109,,,
0.792950016,,0.082,,,
0.800649984,,0.007,,,
0.808350208,,-0.047,,,
0.816040192,,-0.057,,,
0.82374016,,-0.084,,,
0.831440128,,-0.111,,,
0.839140096,,-0.104,,,
0.846840064,,-0.087,,,
0.854540032,,-0.072,,,
0.862230016,,-0.037,,,
0.869929984,,-0.027,,,
0.877629952,,-0.049,,,
0.885330176,,-0.049,,,
0.893030144,,-0.027,,,
0.900720128,,-0.032,,,
0.908420096,,-0.044,,,
0.916120064,,-0.032,,,
0.923820032,,-0.022,,,
0.93152,,-0.012,,,
0.939219968,,0.022,,,
0.946910208,,0.032,,,
0.954610176,,-0.004,,,
0.962310144,,-0.022,,,
0.970010112,,0.004,,,
0.97771008,,0.002,,,
0.985400064,,-0.039,,,
0.993100032,,-0.047,,,
1.0008,,-0.014,,,
1.008499968,,-0.024,,,
1.016200192,,-0.059,,,
1.02390016,,-0.024,,,
1.031590144,,0.017,,,
1.039290112,,0.002,,,
1.04699008,,0.002,,,
1.054690048,,0.012,,,
1.062390016,,-0.027,,,
1.07008,,-0.047,,,
1.077779968,,-0.014,,,
1.085480192,,-0.002,,,
1.09318016,,-0.002,,,
1.100880128,,0.019,,,
1.108580096,,0.044,,,
1.11627008,,0.044,,,
1.123970048,,-0.002,96.0,632.0,
1.131670016,,-0.032,,,
1.139369984,,0.169,,,
1.147069952,,0.733,,,
1.154770176,,1.357,,,
1.162470144,,1.437,,,
1.170160128,,0.646,,,
1.177860096,,-0.193,,,
1.185560064,,-0.139,,,
1.193260032,,0.114,,,
1.20096,,-0.029,,,
1.208659968,,-0.082,,,
1.216360192,,0.0,,,
1.224050176,,0.007,,,
1.231750144,,0.032,,,
1.239450112,,0.049,,,
1.24715008,,0.027,,,
1.254850048,,0.037,,,
1.262550016,,0.069,,,
1.270249984,,0.094,,,
1.277939968,,0.111,,,
1.285640192,,0.121,,,
1.29334016,,0.149,,,
1.301040128,,0.186,,,
1.308740096,,0.198,,,
1.316440064,,0.193,,,
1.324140032,,0.188,,,
1.33184,,0.196,,,
1.339529984,,0.216,,,
1.347230208,,0.218,,,
1.354930176,,0.174,,,
1.362630144,,0.126,,,
1.370330112,,0.109,,,
1.37803008,,0.104,,,
1.385730048,,0.077,,,
1.393420032,,0.012,,,
1.40112,,-0.057,,,
1.408819968,,-0.091,,,
1.416520192,,-0.096,,,
1.42422016,,-0.104,,,
1.431920128,,-0.109,,,
1.439620096,,-0.099,,,
1.44731008,,-0.074,,,
1.455010048,,-0.057,,,
1.462710016,,-0.052,,,
1.470409984,,-0.037,,,
1.478110208,,-0.024,,,
1.485810176,,-0.032,,,
1.493510144,,-0.004,,,
1.501200128,,0.034,,,
1.508900096,,0.007,,,
1.516600064,,-0.007,,,
1.524300032,,0.047,,,
1.532,,0.077,,,
1.539699968,,0.069,,,
1.547400192,,0.077,,,
1.555090176,,0.072,,,
1.562790144,,0.044,,,
1.570490112,,0.027,,,
1.57819008,,0.012,,,
1.585890048,,0.012,,,
1.593590016,,0.024,,,
1.601289984,,0.004,,,
1.608990208,,-0.022,,,
1.616680192,,-0.017,,,
1.62438016,,-0.002,,,
1.632080128,,0.019,,,
1.639780096,,0.029,,,
1.647480064,,0.029,,,
1.655180032,,0.037,,,
1.66288,,0.054,,,
1.670569984,,0.064,,,
1.678269952,,0.079,,,
1.685970176,,0.089,,,
1.693670144,,0.064,,,
1.701370112,,0.052,,,
1.70907008,,0.087,,,
1.716770048,,0.111,,,
1.724460032,,0.057,,,
1.73216,,-0.002,,,
1.739859968,,0.166,,,
1.747560192,,0.716,,,
1.75526016,,1.379,,,
1.762960128,,1.538,,,
1.770650112,,0.808,,,
1.77835008,,-0.084,,,
1.786050048,,-0.136,,,
1.793750016,,0.116,,,
1.801449984,,-0.007,,,
1.809149952,,-0.114,,,
1.816850176,,-0.032,,,
1.82454016,,-0.004,,,
1.832240128,,-0.002,,,
1.839940096,,0.029,,,
1.847640064,,0.019,,,
1.855340032,,0.0,,,
1.86304,,0.019,,,
1.870739968,,0.034,,,
1.878430208,,0.057,,,
1.886130176,,0.091,,,
1.893830144,,0.111,,,
1.901530112,,0.144,,,
1.90923008,,0.188,,,
1.916930048,,0.196,,,
1.924620032,,0.196,,,
1.93232,,0.218,,,
1.940019968,,0.233,,,
1.947720192,,0.246,,,
1.95542016,,0.253,,,
1.963120128,,0.238,,,
1.970820096,,0.198,,,
1.97851008,,0.154,,,
1.986210048,,0.126,,,
1.993910016,,0.099,,,
2.001609984,,0.049,,,
2.009310208,,0.012,,,
2.017010176,,-0.002,,,
2.02470016,,-0.027,,,
2.032400128,,-0.057,,,
2.040100096,,-0.062,,,
2.047800064,,-0.044,,,
2.055500032,,-0.034,,,
2.0632,,-0.034,,,
2.070899968,,-0.019,,,
2.078589952,,0.009,,,
2.086290176,,0.027,,,
2.093990144,,0.019,,,
2.101690112,,-0.002,,,
2.10939008,,-0.004,,,
2.117090048,,0.032,,,
2.124780032,,0.044,,,
2.13248,,0.039,,,
2.140179968,,0.057,,,
2.147880192,,0.064,,,
2.15558016,,0.032,,,
2.163280128,,0.004,,,
2.170980096,,0.029,,,
2.17867008,,0.057,,,
2.186370048,,0.029,,,
2.194070016,,0.009,,,
2.201769984,,0.042,,,
2.209469952,,0.074,,,
2.217170176,,0.064,,,
2.224870144,,0.037,,,
2.232560128,,0.029,,,
2.240260096,,0.037,,,
2.247960064,,0.042,95.0,622.0,
2.255660032,,0.052,,611.0,
2.26336,,0.054,,,
2.271059968,,0.019,,,
2.278750208,,0.007,,,
2.286450176,,0.039,,,
2.294150144,,0.024,,,
2.301850112,,-0.012,,,
2.30955008,,-0.007,,,
2.317250048,,-0.022,,,
2.324950016,,-0.032,,,
2.33264,,-0.027,,,
2.340339968,,-0.002,,,
2.348040192,,0.358,,,
2.35574016,,1.078,,,
2.363440128,,1.524,,,
2.371140096,,1.069,,,
2.378840064,,0.079,,,
2.386530048,,-0.248,,,
2.394230016,,0.044,,,
2.401929984,,-0.014,,,
2.409630208,,-0.206,,,
2.417330176,,-0.077,,,
2.425030144,,0.012,,,
2.432730112,,-0.049,,,
2.440420096,,-0.047,,,
2.448120064,,-0.012,,,
2.455820032,,-0.024,,,
2.46352,,0.0,,,
2.471219968,,0.064,,,
2.478920192,,0.087,,,
2.48662016,,0.087,,,
2.494310144,,0.119,,,
2.502010112,,0.141,,,
2.50971008,,0.144,,,
2.517410048,,0.179,,,
2.525110016,,0.196,,,
2.532809984,,0.174,,,
2.540510208,,0.193,,,
2.548200192,,0.231,,,
2.55590016,,0.236,,,
2.563600128,,0.226,,,
2.571300096,,0.206,,,
2.579000064,,0.164,,,
2.586700032,,0.126,,,
2.5944,,0.099,,,
2.602089984,,0.057,,,
2.609789952,,0.004,,,
2.617490176,,-0.039,,,
2.625190144,,-0.077,,,
2.632890112,,-0.074,,,
2.64059008,,-0.039,,,
2.648280064,,-0.052,,,
2.655980032,,-0.084,,,
2.66368,,-0.037,,,
2.671379968,,0.002,,,
2.679080192,,-0.032,,,
2.68678016,,-0.024,,,
2.694480128,,0.019,,,
2.702170112,,0.032,,,
2.70987008,,0.027,,,
2.717570048,,0.012,,,
2.725270016,,0.009,,,
2.732969984,,0.052,,,
2.740669952,,0.067,,,
2.748370176,,0.017,,,
2.75606016,,0.007,,,
2.763760128,,0.049,,,
2.771460096,,0.049,,,
2.779160064,,0.042,,,
2.786860032,,0.059,,,
2.79456,,0.054,,,
2.802259968,,0.014,,,
2.809950208,,-0.009,96.0,605.0,
2.817650176,,0.002,,602.0,
2.825350144,,0.024,,,
2.833050112,,0.017,,,
2.84075008,,0.014,,,
2.848450048,,0.022,,,
2.856150016,,0.019,,,
2.86384,,0.014,,,
2.871539968,,-0.022,,,
2.879240192,,-0.087,,,
2.88694016,,-0.082,,,
2.894640128,,-0.037,,,
2.902340096,,-0.042,,,
2.91003008,,-0.054,,,
2.917730048,,-0.047,,,
2.925430016,,-0.037,,,
2.933129984,,-0.049,,,
2.940830208,,-0.017,,,
2.948530176,,0.348,,,
2.95622016,,1.061,,,
2.963920128,,1.509,,,
2.971620096,,1.041,,,
2.979320064,,0.062,,,
2.987020032,,-0.236,,,
2.99472,,0.029,,,
3.002409984,,-0.042,,,
3.010109952,,-0.191,,,
3.017810176,,-0.074,,,
3.025510144,,-0.024,,,
3.033210112,,-0.091,,,
3.04091008,,-0.087,,,
3.048610048,,-0.037,,,
3.056300032,,-0.009,,,
3.064,,0.019,,,
3.071699968,,0.032,,,
3.079400192,,0.012,,,
3.08710016,,0.032,,,
3.094800128,,0.091,,,
3.102490112,,0.104,,,
3.11019008,,0.089,,,
3.117890048,,0.136,,,
3.125590016,,0.201,,,
3.133289984,,0.208,,,
3.140989952,,0.203,,,
3.148680192,,0.231,,,
3.15638016,,0.228,,,
3.164080128,,0.188,,,
3.171780096,,0.169,,,
3.179480064,,0.164,,,
3.187180032,,0.139,,,
3.19488,,0.094,,,
3.202569984,,0.049,,,
3.210270208,,0.014,,,
3.217970176,,-0.047,,,
3.225670144,,-0.104,,,
3.233370112,,-0.106,,,
3.24107008,,-0.096,,,
3.248760064,,-0.087,,,
3.256460032,,-0.054,,,
3.26416,,-0.049,,,
3.271859968,,-0.057,,,
3.279560192,,-0.047,,,
3.28726016,,-0.044,,,
3.294950144,,-0.044,,,
3.302650112,,-0.027,,,
3.31035008,,-0.007,,,
3.318050048,,0.0,,,
3.325750016,,0.009,,,
3.333449984,,0.027,,,
3.341139968,,0.042,,,
3.348840192,,0.039,,,
3.35654016,,0.014,,,
3.364240128,,-0.009,,,
3.371940096,,-0.012,,,
3.379640064,,0.007,,,
3.387330048,,0.017,,,
3.395030016,,0.012,,,
3.402729984,,0.009,,,
3.410429952,,0.004,,,
3.418130176,,0.007,,,
3.425830144,,0.014,,,
3.433520128,,-0.019,,,
3.441220096,,-0.059,,,
3.448920064,,-0.027,,,
3.456620032,,0.009,,,
3.46432,,-0.019,,,
3.472019968,,-0.039,,,
3.479710208,,-0.017,,,
3.487410176,,-0.007,,,
3.495110144,,-0.014,,,
