norm_time,CharacterStatus,ECG,HR,RR,Marker
0.0,,0.049,96.0,581.0,
0.083,,0.079,,,
0.167,,0.131,,,
0.25,,-0.039,,,
0.334,,-0.027,,,
0.417,,-0.049,,,
0.501,,0.019,,,
0.585,,0.074,,,
0.669,,0.064,,,
0.752,,0.206,,,
0.835,,-0.111,,,
0.918,,-0.032,,,
1.002,,-0.014,,,
1.085,,-0.002,,,
1.169,,0.646,,,
1.252,,0.037,,,
1.335,,0.196,,,
1.419,,-0.096,,,
1.503,,0.034,,,
1.586,,0.012,,,
1.67,,0.064,,,
1.753,,1.379,,,
1.837,,0.029,,,
1.92,,0.196,,,
2.004,,0.049,,,
2.086,,0.027,,,
2.171,,0.029,,,
2.254,,0.052,,611.0,
2.337,,-0.002,,,
2.422,,0.012,,,
2.505,,0.141,,,
2.588,,0.126,,,
2.672,,0.002,,,
2.755,,0.007,,,
2.839,,0.014,,,
2.923,,-0.037,,,
3.006,,-0.042,,,
3.09,,0.032,,,
3.173,,0.169,,,
3.256,,-0.054,,,
3.341,,0.042,,,
3.425,,0.014,,,
3.508,,-0.039,,,
3.591,,-0.106,,,
3.674,,0.057,,,
3.759,,0.243,,,
3.854,,-0.037,,,
3.939,,0.044,,,
4.023,,0.037,,,
4.106,,0.042,,,
4.189,,-0.156,,,
4.273,,0.047,,,
4.356,,0.266,,,
4.44,,-0.059,,,
4.524,,0.059,,,
4.606,,0.099,,,
4.69,,0.091,,,
4.773,,1.367,,,
4.857,,0.004,,,
4.942,,0.191,,,
5.024,,-0.111,,,
5.109,,-0.017,,,
5.192,,-0.007,,,
5.275,,-0.012,,,
5.289,,-0.017,,,
5.358,,1.359,,,
5.442,,-0.124,,,
5.525,,0.136,,,
5.609,,-0.072,,,
5.692,,-0.047,,,
5.776,,0.039,,,
5.86,,0.074,,,
5.944,,0.151,,,
6.028,,-0.017,,,
6.111,,0.201,,,
6.195,,0.126,,,
6.277,,-0.037,,,
6.362,,0.044,,,
6.444,,0.019,,,
6.528,,-0.029,,,
6.612,,-0.052,,,
6.694,,0.141,,,
6.778,,0.226,,,
6.863,,-0.047,,,
6.945,,0.027,,,
7.029,,0.059,,,
7.113,,0.024,,,
7.195,,-0.171,,,
7.279,,0.077,,,
7.364,,0.193,,,
7.447,,-0.136,,,
7.53,,-0.054,,,
7.613,,0.007,,,
7.696,,0.009,,,
7.781,,-0.183,,,
7.864,,0.062,99.0,602.0,
7.948,,0.159,,,
8.032,,-0.126,,,
8.115,,-0.004,,,
8.199,,0.047,,,
8.282,,0.029,,,
8.367,,-0.082,,,
8.463,,0.052,,,
8.547,,0.161,,,
8.63,,-0.029,,,
8.713,,0.039,,,
8.796,,0.094,,,
8.88,,0.114,,,
8.965,,-0.149,,,
9.049,,0.099,,,
9.131,,0.228,,,
9.214,,-0.039,,,
9.298,,0.062,,,
9.382,,0.091,,,
9.465,,0.032,,,
9.55,,-0.174,,,
9.633,,0.032,,,
9.716,,0.171,,,
9.8,,-0.064,,,
9.884,,0.022,,,
9.967,,-0.009,,,
10.051,,0.002,,,
10.134,,-0.106,,,
10.218,,-0.002,,,
10.301,,0.136,,,
10.384,,-0.091,,,
10.439,,-0.072,,,
10.482,,-0.022,,,
10.565,,0.044,,,
10.649,,0.099,,,
10.731,,-0.087,,,
10.814,,0.104,,,
10.9,,0.032,,,
10.983,,-0.072,,,
11.067,,0.017,,,
11.15,,0.079,,,
11.233,,0.544,,,
11.317,,-0.096,,,
11.401,,0.136,,,
11.485,,-0.037,,,
11.569,,-0.012,,,
11.652,,0.039,,,
11.735,,0.069,,,
11.817,,1.143,,,
11.902,,-0.052,,,
11.986,,0.144,,,
12.069,,-0.037,,,
12.153,,-0.004,,,
12.236,,0.067,,,
12.32,,0.094,,,
12.402,TouchBody,1.441,,,
12.487,TouchBody,-0.047,,,
12.571,TouchBody,0.166,,,
12.654,TouchBody,-0.064,,,
12.738,TouchBody,0.019,,,
12.821,TouchBody,0.052,,,
12.904,TouchBody,0.079,,,
12.989,TouchBody,1.392,,,
13.072,TouchBody,-0.024,,,
13.155,TouchBody,0.156,,,
13.239,TouchBody,-0.057,,,
13.323,TouchBody,0.004,,,
13.406,TouchBody,0.014,,,
13.49,TouchBody,0.012,,,
13.573,TouchBody,1.034,,,
13.657,TouchBody,-0.082,,,
13.741,TouchBody,0.131,,,
13.823,TouchBody,-0.072,,,
13.907,TouchBody,-0.067,,,
13.991,TouchBody,0.004,,,
14.074,TouchBody,0.019,,,
14.158,TouchBody,1.325,,,
14.242,TouchBody,-0.017,,,
14.325,TouchBody,0.183,,,
14.408,TouchBody,-0.034,,,
14.492,TouchBody,-0.024,,,
14.575,TouchBody,0.052,,,
14.659,TouchBody,0.106,,,
14.743,TouchBody,1.029,,,
14.827,TouchBody,-0.032,,,
14.91,TouchBody,0.174,,,
14.993,TouchBody,-0.022,,,
15.077,TouchBody,0.004,,,
15.161,TouchBody,0.034,,,
15.244,TouchBody,0.109,,,
15.327,TouchBody,0.619,,,
15.41,TouchBody,-0.104,,,
15.493,TouchBody,0.121,,,
15.577,TouchBody,0.029,,,
15.662,TouchBody,-0.049,,,
15.746,TouchBody,0.017,,,
15.828,TouchBody,0.029,,,
15.912,TouchBody,0.872,,,
15.996,TouchBody,-0.104,,,
16.079,TouchBody,0.114,,,
16.163,TouchBody,-0.084,,,
16.247,TouchBody,-0.039,,,
16.33,TouchBody,0.037,,,
16.412,TouchBody,0.052,,,
16.496,TouchBody,0.924,,,
16.581,TouchBody,-0.121,,,
16.665,TouchBody,0.159,,,
16.748,TouchBody,-0.004,,,
16.831,TouchBody,0.014,,,
16.915,TouchBody,0.024,,,
16.998,TouchBody,0.064,,,
17.082,TouchBody,1.476,,,
