norm_time    , CharacterStatus, ECG   , HR   , RR   , Marker
  0.0        , Walk           , 0.049 ,  96.0, 581.0, 
  0.007699968, Walk           , 0.017 ,      , 689.0, 
  0.015400192, Walk           , -0.002,      ,      , 
  0.02310016 , Walk           , 0.057 ,      ,      , 
  0.030800128, Walk           , 0.059 ,      ,      , 
  0.038500096, Walk           , 0.049 ,      ,      , 
  0.046200064, Walk           , 0.087 ,      ,      , 
  0.053890048, Walk           , 0.106 ,      ,      , 
  0.061590016, Walk           , 0.099 ,      ,      , 
  0.069289984, Walk           , 0.101 ,      ,      , 
  0.076989952, Walk           , 0.091 ,      ,      , 
  0.083      , Walk           ,       ,      ,      , 
  0.084690176, Walk           , 0.079 ,      ,      , 
  0.092390144, Walk           , 0.119 ,      ,      , 
  0.100090112, Walk           , 0.169 ,      ,      , 
  0.10779008 , Walk           , 0.176 ,      ,      , 
  0.115480064, Walk           , 0.193 ,      ,      , 
  0.123180032, Walk           , 0.246 ,      ,      , 
  0.13088    , Walk           , 0.256 ,      ,      , 
  0.138579968, Walk           , 0.193 ,      ,      , 
  0.146280192, Walk           , 0.156 ,      ,      , 
  0.15398016 , Walk           , 0.183 ,      ,      , 
  0.161680128, Walk           , 0.183 ,      ,      , 
  0.167      , Walk           ,       ,      ,      , 
  0.169370112, Walk           , 0.131 ,      ,      , 
  0.17707008 , Walk           , 0.082 ,      ,      , 
  0.184770048, Walk           , 0.054 ,      ,      , 
  0.192470016, Walk           , 0.034 ,      ,      , 
  0.200169984, Walk           , 0.007 ,      ,      , 
  0.207869952, Walk           , -0.049,      ,      , 
  0.215570176, Walk           , -0.096,      ,      , 
  0.22326016 , Walk           , -0.089,      ,      , 
  0.230960128, Walk           , -0.054,      ,      , 
  0.238660096, Walk           , -0.042,      ,      , 
  0.246360064, Walk           , -0.039,      ,      , 
  0.25       , Walk           ,       ,      ,      , 
  0.254060032, Walk           , -0.027,      ,      , 
  0.26176    , Walk           , -0.002,      ,      , 
  0.269459968, Walk           , 0.004 ,      ,      , 
  0.277150208, Walk           , -0.014,      ,      , 
  0.284850176, Walk           , -0.029,      ,      , 
  0.292550144, Walk           , 0.0   ,      ,      , 
