Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1715943252397,366.2547,Robot Kyle,-6.000123,-1.0,0.09986793,Idle,,,-6.040844,-0.1006482,0.3824844,-5.934173,-0.09601629,-0.1505151,-0.04937861,0.7213693,0.1255098,,0.0,0.0,,,0.0214962850690526,0.01908827661009,0.0001286854364483,0.0407132471155909,1.1261511716405932,0.5279924003119045,0.4688468241281653,-3.9586809224234223,0.0
1715943252480,366.3384,Robot Kyle,-5.916374,-1.001257,0.09987,Idle,,,-5.932918,-0.09689546,0.3933727,-5.842229,-0.08761215,-0.1602797,-0.04929174,0.7213463,0.1253695,,0.083,0.1,,,0.0214962850690526,0.01908827661009,0.0001286854364483,0.0407132471155909,1.1261511716405932,0.5279924003119045,0.4688468241281653,-3.9586809224234223,0.1
1715943252564,366.4212,Robot Kyle,-5.833615,-1.002499,0.09987205,Idle,,,-5.891046,-0.101326,0.390073,-5.672959,-0.04748839,-0.1867078,-0.04916076,0.7214739,0.1250888,,0.167,0.2,,,0.0214962850690526,0.01908827661009,0.0001286854364483,0.0407132471155909,1.1261511716405932,0.5279924003119045,0.4688468241281653,-3.9586809224234223,0.2
1715943252647,366.5042,Robot Kyle,-5.750625,-1.003745,0.09987407,Idle,,,-5.893467,-0.1264621,0.362511,-5.474052,0.01146841,-0.2096342,-0.04901299,0.7218859,0.1249288,,0.25,0.2,,,0.0214962850690526,0.01908827661009,0.0001286854364483,0.0407132471155909,1.1261511716405932,0.5279924003119045,0.4688468241281653,-3.9586809224234223,0.2
1715943252730,366.5874,Robot Kyle,-5.667457,-1.004993,0.09987614,Idle,,,-5.802825,-0.1528323,0.3541144,-5.357245,0.02283227,-0.1932628,-0.04899546,0.722628,0.1249216,,0.333,0.3,,,0.0214962850690526,0.01908827661009,0.0001286854364483,0.0407132471155909,1.1261511716405932,0.5279924003119045,0.4688468241281653,-3.9586809224234223,0.3
1715943252814,366.6704,Robot Kyle,-5.584465,-1.006239,0.0998782,Idle,,,-5.654221,-0.1436009,0.3949229,-5.340456,7.295609e-05,-0.1656282,-0.04929551,0.7231812,0.1250817,,0.417,0.4,,,0.0281661444320399,0.0203213420630767,0.0001874235288451,0.0486749100239618,1.1781284597744577,0.5786583769374045,0.4174911068777096,-3.8960836120415663,0.4
1715943252897,366.7546,Robot Kyle,-5.5002,-1.007503,0.09988026,Idle,,,-5.504208,-0.1185246,0.4636975,-5.380793,-0.04592812,-0.1224079,-0.05020158,0.7232065,0.1252008,,0.5,0.5,,,0.0409968488427175,0.0281110513723662,0.0001784986139705,0.0692863988290543,1.2248385542161502,0.5917012506865349,0.4057225061115211,-3.571592492686784,0.5
1715943252981,366.8375,Robot Kyle,-5.417358,-1.008747,0.09988234,Idle,,,-5.324483,-0.06370926,0.495053,-5.432047,-0.07811517,-0.09849923,-0.0515103,0.7229555,0.1252943,,0.584,0.6,,,0.0409968488427175,0.0281110513723662,0.0001784986139705,0.0692863988290543,1.2582029073887877,0.5917012506865349,0.4057225061115211,-3.571592492686784,0.6
1715943253064,366.9212,Robot Kyle,-5.333697,-1.010002,0.09988449,Idle,,,-5.137222,0.0112741,0.4847192,-5.465887,-0.08801425,-0.08168709,-0.05300836,0.7226304,0.125259,,0.667,0.7,,,0.0409968488427175,0.0281110513723662,0.0001784986139705,0.0692863988290543,1.2832261722682654,0.5917012506865349,0.4057225061115211,-3.571592492686784,0.7
1715943253147,367.0044,Robot Kyle,-5.250479,-1.011252,0.09988651,Idle,,,-4.974827,0.05715168,0.4849485,-5.460422,-0.100439,-0.05074444,-0.05454087,0.7223145,0.1251691,,0.75,0.8,,,0.0409968488427175,0.0281110513723662,0.0001784986139705,0.0692863988290543,1.3026887116189707,0.5917012506865349,0.4057225061115211,-3.571592492686784,0.8
1715943253230,367.0876,Robot Kyle,-5.167289,-1.0125,0.0998886,Idle,,,-4.857615,0.05675828,0.5018203,-5.394913,-0.1157417,-0.02838763,-0.05595139,0.7222371,0.1253776,,0.833,0.8,,,0.0409968488427175,0.0281110513723662,0.0001784986139705,0.0692863988290543,1.3026887116189707,0.5917012506865349,0.4057225061115211,-3.571592492686784,0.8
1715943253314,367.1715,Robot Kyle,-5.083391,-1.013759,0.09989063,Idle,,,-4.798122,0.02200222,0.4888725,-5.269165,-0.1092621,-0.0716643,-0.05707962,0.7222769,0.127986,,0.917,0.9,,,0.0409968488427175,0.0281110513723662,0.0001784986139705,0.0692863988290543,1.3182587430995347,0.5917012506865349,0.4057225061115211,-3.571592492686784,0.9
1715943253397,367.254,Robot Kyle,-5.000904,-1.014997,0.09989265,Idle,,,-4.783916,-0.02896541,0.4477243,-5.090356,-0.1045405,-0.1447067,-0.05725576,0.7225727,0.1320342,,1.0,1.0,,,0.0409968488427175,0.0281110513723662,0.0001784986139705,0.0692863988290543,1.3309978597654508,0.5917012506865349,0.4057225061115211,-3.571592492686784,1.0
1715943253480,367.3373,Robot Kyle,-4.917599,-1.016248,0.09989474,Idle,,,-4.813898,-0.06645852,0.4184177,-4.885211,-0.07524192,-0.1964068,-0.05737167,0.7232195,0.1359567,,1.083,1.1,,,0.0409968488427175,0.0281110513723662,0.0001784986139705,0.0692863988290543,1.341613790320381,0.5917012506865349,0.4057225061115211,-3.571592492686784,1.1
1715943253564,367.4207,Robot Kyle,-4.834186,-1.0175,0.09989689,Idle,,,-4.864398,-0.1016001,0.395122,-4.654993,-0.01321137,-0.2102628,-0.05721914,0.7236809,0.1380896,,1.167,1.2,,,0.0290045840848746,0.0210235832914709,0.0001866685640983,0.0502148359404438,1.3445374477417782,0.577609854571164,0.4186727467636345,-3.862110457487531,1.2
1715943253647,367.5037,Robot Kyle,-4.751186,-1.018746,0.09989903,Idle,,,-4.887521,-0.1332845,0.3677259,-4.473145,0.01725805,-0.2126909,-0.05757503,0.7240162,0.1381681,,1.25,1.2,,,0.0290045840848746,0.0210235832914709,0.0001866685640983,0.0502148359404438,1.3445374477417782,0.577609854571164,0.4186727467636345,-3.862110457487531,1.2
1715943253730,367.5874,Robot Kyle,-4.667483,-1.020002,0.09990118,Idle,,,-4.817399,-0.1597246,0.3499994,-4.352859,0.01390636,-0.2040062,-0.05868352,0.7239358,0.1364886,,1.333,1.3,,,0.0227097891568347,0.0209622006978965,0.0001381297690424,0.0438101196237736,1.3258825270944865,0.5183685721896815,0.478478508570914,-3.865034429912245,1.3
1715943253814,367.6705,Robot Kyle,-4.584416,-1.021248,0.09990332,Idle,,,-4.682015,-0.1693639,0.3695301,-4.30341,-0.002671599,-0.1802613,-0.05983952,0.7238719,0.1342422,,1.417,1.4,,,0.0227097891568347,0.0209622006978965,0.0001381297690424,0.0438101196237736,1.3097149292001673,0.5183685721896815,0.478478508570914,-3.865034429912245,1.4
1715943253898,367.7538,Robot Kyle,-4.501113,-1.022499,0.09990547,Idle,,,-4.535892,-0.145767,0.4418305,-4.327096,-0.04294527,-0.1370014,-0.06035974,0.7239783,0.131692,,1.501,1.5,,,0.0227097891568347,0.0209622006978965,0.0001381297690424,0.0438101196237736,1.2955682810426377,0.5183685721896815,0.478478508570914,-3.865034429912245,1.5
1715943253980,367.8375,Robot Kyle,-4.417417,-1.023755,0.09990761,Idle,,,-4.365801,-0.1064957,0.4892388,-4.37778,-0.08493376,-0.1072176,-0.06048637,0.7243183,0.1291734,,1.583,1.6,,,0.0227097891568347,0.0209622006978965,0.0001381297690424,0.0438101196237736,1.283085944433053,0.5183685721896815,0.478478508570914,-3.865034429912245,1.6
1715943254063,367.9206,Robot Kyle,-4.334369,-1.025001,0.09990976,Idle,,,-4.17834,-0.03367639,0.4874379,-4.421227,-0.09907234,-0.09128454,-0.0605972,0.7246979,0.1267157,,1.666,1.7,,,0.0227097891568347,0.0209622006978965,0.0001381297690424,0.0438101196237736,1.271990534113422,0.5183685721896815,0.478478508570914,-3.865034429912245,1.7
1715943254147,368.0046,Robot Kyle,-4.25037,-1.026262,0.09991191,Idle,,,-4.001212,0.02755284,0.4801186,-4.435467,-0.1126394,-0.06573441,-0.06062565,0.7249359,0.1246919,,1.75,1.8,,,0.0227097891568347,0.0209622006978965,0.0001381297690424,0.0438101196237736,1.262063061722173,0.5183685721896815,0.478478508570914,-3.865034429912245,1.8
1715943254230,368.087,Robot Kyle,-4.167915,-1.0275,0.09991405,Idle,,,-3.864957,0.04834676,0.4929946,-4.39432,-0.1234473,-0.03427067,-0.06057706,0.7250376,0.1236366,,1.833,1.8,,,0.0227097891568347,0.0209622006978965,0.0001381297690424,0.0438101196237736,1.262063061722173,0.5183685721896815,0.478478508570914,-3.865034429912245,1.8
1715943254313,368.17,Robot Kyle,-4.084966,-1.028744,0.0999162,Idle,,,-3.784823,0.02063441,0.5032088,-4.294287,-0.1316204,-0.04187229,-0.06065135,0.7249012,0.1238884,,1.916,1.9,,,0.0227097891568347,0.0209622006978965,0.0001381297690424,0.0438101196237736,1.2531283365700492,0.5183685721896815,0.478478508570914,-3.865034429912245,1.9
1715943254397,368.2537,Robot Kyle,-4.001301,-1.03,0.09991834,Idle,,,-3.752073,-0.02158356,0.4633251,-4.135472,-0.1189203,-0.1170734,-0.0607723,0.7246226,0.1251615,,2.0,2.0,,,0.0227097891568347,0.0209622006978965,0.0001381297690424,0.0438101196237736,1.2450445376228896,0.5183685721896815,0.478478508570914,-3.865034429912245,2.0
