Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1716265381717,614.9786,Cow_boy,-6.000122,-1.0,0.09986983,Idle,,,-6.051326,-0.09564811,0.3897576,-5.950515,-0.09170401,-0.1624661,-0.2271268,0.6708841,0.04686896,,0.0,0.0,,,0.0131294264869469,0.0091095320966792,0.0003373595513798,0.022576318135006,1.4412843983208583,0.5815574713482129,0.4034994564748952,-4.698433930535435,0.0
1716265381800,615.0619,Cow_boy,-5.916889,-1.001249,0.09987185,Idle,,,-5.949177,-0.09229374,0.4028345,-5.863657,-0.08428651,-0.1751457,-0.2275635,0.6707897,0.04716485,,0.083,0.1,,,0.0131294264869469,0.0091095320966792,0.0003373595513798,0.022576318135006,1.4412843983208583,0.5815574713482129,0.4034994564748952,-4.698433930535435,0.1
1716265381883,615.1462,Cow_boy,-5.832521,-1.002516,0.09987391,Idle,,,-5.910284,-0.09512955,0.4051597,-5.700948,-0.04457015,-0.2053178,-0.2280335,0.6708395,0.04702901,,0.166,0.2,,,0.0131294264869469,0.0091095320966792,0.0003373595513798,0.022576318135006,1.4412843983208583,0.5815574713482129,0.4034994564748952,-4.698433930535435,0.2
1716265381967,615.2286,Cow_boy,-5.750175,-1.003751,0.09987589,Idle,,,-5.916197,-0.1170567,0.3827872,-5.506579,0.0147301,-0.2279556,-0.228558,0.6708269,0.04675654,,0.25,0.2,,,0.0131294264869469,0.0091095320966792,0.0003373595513798,0.022576318135006,1.4412843983208583,0.5815574713482129,0.4034994564748952,-4.698433930535435,0.2
1716265382051,615.3123,Cow_boy,-5.666552,-1.005006,0.0998779,Idle,,,-5.830729,-0.1438248,0.37749,-5.396008,0.02515173,-0.2123151,-0.229278,0.67066,0.04641684,,0.334,0.3,,,0.0131294264869469,0.0091095320966792,0.0003373595513798,0.022576318135006,1.4412843983208583,0.5815574713482129,0.4034994564748952,-4.698433930535435,0.3
1716265382134,615.3961,Cow_boy,-5.582656,-1.006266,0.09987996,Idle,,,-5.681799,-0.1400471,0.4167237,-5.384715,0.0007878542,-0.1855046,-0.2300542,0.6704305,0.04588095,,0.417,0.4,,,0.0131294264869469,0.0091095320966792,0.0003373595513798,0.022576318135006,1.4412843983208583,0.5815574713482129,0.4034994564748952,-4.698433930535435,0.4
1716265382218,615.4802,Cow_boy,-5.498616,-1.007527,0.09988198,Idle,,,-5.525713,-0.1174409,0.4805329,-5.422963,-0.04406577,-0.1402625,-0.2306197,0.6703393,0.04572276,,0.501,0.5,,,0.0127534569835091,0.007726756029179,0.0003009864563015,0.0207811994689896,1.476163288912533,0.613701677929621,0.3718147280530706,-4.863066164338004,0.5
1716265382302,615.5638,Cow_boy,-5.415019,-1.008782,0.09988401,Idle,,,-5.351483,-0.06265628,0.5140741,-5.459843,-0.07656598,-0.1143047,-0.2310372,0.6702016,0.04598349,,0.585,0.6,,,0.012748681086282,0.0095638734894266,0.000356663310674,0.0226692178863827,1.455711953999106,0.5623785147850255,0.4218881100071655,-4.649762457262481,0.6
1716265382385,615.6468,Cow_boy,-5.332034,-1.010027,0.09988598,Idle,,,-5.172764,0.005879879,0.5094606,-5.482755,-0.08670068,-0.1049435,-0.2311894,0.670206,0.04667277,,0.668,0.7,,,0.012748681086282,0.0095638734894266,0.000356663310674,0.0226692178863827,1.4403734528140362,0.5623785147850255,0.4218881100071655,-4.649762457262481,0.7
1716265382468,615.7301,Cow_boy,-5.248715,-1.011278,0.099888,Idle,,,-5.011878,0.04519606,0.5118793,-5.47685,-0.09736401,-0.07860186,-0.231194,0.670091,0.04744396,,0.751,0.8,,,0.012748681086282,0.0095638734894266,0.000356663310674,0.0226692178863827,1.4284435074478703,0.5623785147850255,0.4218881100071655,-4.649762457262481,0.8
