Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1716277646964,322.9837,Cow_boy,-6.00012,-1.0,0.09986936,Idle,,,-6.051211,-0.09563559,0.3896617,-5.950435,-0.09175098,-0.1624213,-0.035802,0.5950664,0.1791603,,0.0,0.0,,,0.0053258319759909,0.001208163839033,0.0001072914824024,0.0066412872974264,4.408203427321325,0.8019276591233755,0.1819171171078809,-6.7186535603276285,0.0
1716277647047,323.0667,Cow_boy,-5.917148,-1.001245,0.0998714,Idle,,,-5.949391,-0.09224856,0.4028387,-5.863653,-0.08425462,-0.175106,-0.03730099,0.5945343,0.1804588,,0.083,0.1,,,0.0053258319759909,0.001208163839033,0.0001072914824024,0.0066412872974264,4.408203427321325,0.8019276591233755,0.1819171171078809,-6.7186535603276285,0.1
1716277647130,323.15,Cow_boy,-5.833807,-1.002496,0.09987345,Idle,,,-5.911857,-0.09513372,0.4051052,-5.701765,-0.04443276,-0.2053063,-0.0386324,0.594246,0.1813354,,0.166,0.2,,,0.0038670671085515,0.0012529214604425,0.0001424460699224,0.0052624346389165,3.96761567040773,0.7348437318259398,0.2380877951769755,-6.682277286243781,0.2
1716277647213,323.234,Cow_boy,-5.749817,-1.003757,0.09987546,Idle,,,-5.915805,-0.1170455,0.382792,-5.506253,0.0146805,-0.2279283,-0.03995791,0.5936713,0.1819005,,0.249,0.2,,,0.0038670671085515,0.0012529214604425,0.0001424460699224,0.0052624346389165,3.96761567040773,0.7348437318259398,0.2380877951769755,-6.682277286243781,0.2
1716277647297,323.3178,Cow_boy,-5.666062,-1.005014,0.09987748,Idle,,,-5.831624,-0.1435223,0.3771784,-5.394379,0.02566528,-0.2126302,-0.04066739,0.5933935,0.1823038,,0.333,0.3,,,0.0038670671085515,0.0012529214604425,0.0001424460699224,0.0052624346389165,3.747321791950932,0.7348437318259398,0.2380877951769755,-6.682277286243781,0.3
1716277647380,323.4002,Cow_boy,-5.583649,-1.006251,0.09987948,Idle,,,-5.684126,-0.1404573,0.4151806,-5.38369,0.001366377,-0.1864246,-0.04121865,0.5932606,0.1819401,,0.416,0.4,,,0.0038670671085515,0.0012529214604425,0.0001424460699224,0.0052624346389165,3.6151454648768535,0.7348437318259398,0.2380877951769755,-6.682277286243781,0.4
1716277647464,323.4835,Cow_boy,-5.500359,-1.007501,0.09988148,Idle,,,-5.529631,-0.1183908,0.4794055,-5.421766,-0.04293394,-0.1408738,-0.04150447,0.5931153,0.1810353,,0.5,0.5,,,0.0038670671085515,0.0012529214604425,0.0001424460699224,0.0052624346389165,3.5270279134941345,0.7348437318259398,0.2380877951769755,-6.682277286243781,0.5
1716277647547,323.5671,Cow_boy,-5.416737,-1.008756,0.09988347,Idle,,,-5.355396,-0.06448805,0.5136946,-5.458725,-0.07625842,-0.1145879,-0.04218196,0.592827,0.1799589,,0.583,0.6,,,0.0054948731684707,0.0013333988467802,0.0001139594401831,0.0069422314554342,3.611874267710128,0.79151396834652,0.1920706411677663,-6.620024072652229,0.6
1716277647630,323.6503,Cow_boy,-5.333606,-1.010004,0.0998855,Idle,,,-5.176592,0.00468576,0.5096144,-5.482202,-0.08625555,-0.1054521,-0.04241535,0.5921761,0.1786977,,0.666,0.7,,,0.0054948731684707,0.0013333988467802,0.0001139594401831,0.0069422314554342,3.6755090333721223,0.79151396834652,0.1920706411677663,-6.620024072652229,0.7
1716277647713,323.7332,Cow_boy,-5.250716,-1.011248,0.09988753,Idle,,,-5.015581,0.04451215,0.5113055,-5.477299,-0.09726369,-0.07969572,-0.04227957,0.5917981,0.1774182,,0.749,0.7,,,0.0054948731684707,0.0013333988467802,0.0001139594401831,0.0069422314554342,3.6755090333721223,0.79151396834652,0.1920706411677663,-6.620024072652229,0.7
1716277647796,323.8166,Cow_boy,-5.167332,-1.0125,0.09988955,Idle,,,-4.897234,0.04303813,0.5281966,-5.413744,-0.1122361,-0.05915117,-0.04170766,0.5917,0.1768694,,0.832,0.8,,,0.0056090750814361,0.0013904726230322,0.0001507850666591,0.0071503327711275,3.715334052942938,0.7844495159840826,0.194462644962044,-6.578111573062105,0.8
1716277647880,323.9002,Cow_boy,-5.083675,-1.013755,0.09989164,Idle,,,-4.834422,0.01687038,0.5142636,-5.28982,-0.1083018,-0.0988067,-0.0410238,0.5917985,0.1767991,,0.916,0.9,,,0.0056090750814361,0.0013904726230322,0.0001507850666591,0.0071503327711275,3.7471940685995913,0.7844495159840826,0.194462644962044,-6.578111573062105,0.9
1716277647964,323.9839,Cow_boy,-4.99999,-1.015011,0.09989367,Idle,,,-4.811078,-0.02872312,0.4723764,-5.113654,-0.1047313,-0.1673361,-0.04006287,0.5922005,0.1769744,,1.0,1.0,,,0.0056090750814361,0.0013904726230322,0.0001507850666591,0.0071503327711275,3.773261354136852,0.7844495159840826,0.194462644962044,-6.578111573062105,1.0
1716277648047,324.0674,Cow_boy,-4.916554,-1.016263,0.09989581,Idle,,,-4.842696,-0.06558657,0.4401691,-4.914895,-0.07225835,-0.2197708,-0.03899672,0.592943,0.1773018,,1.083,1.1,,,0.0056090750814361,0.0013904726230322,0.0001507850666591,0.0071503327711275,3.79498409208457,0.7844495159840826,0.194462644962044,-6.578111573062105,1.1
1716277648130,324.1497,Cow_boy,-4.834246,-1.017499,0.09989796,Idle,,,-4.89279,-0.09617829,0.4177515,-4.694564,-0.01278234,-0.2348322,-0.03710969,0.593688,0.1782348,,1.166,1.2,,,0.0056090750814361,0.0013904726230322,0.0001507850666591,0.0071503327711275,3.813364870348023,0.7844495159840826,0.194462644962044,-6.578111573062105,1.2
1716277648213,324.2339,Cow_boy,-4.750029,-1.018763,0.0999001,Idle,,,-4.909985,-0.1237106,0.3897128,-4.507692,0.01734114,-0.2338658,-0.03531309,0.594028,0.1800107,,1.249,1.2,,,0.0056090750814361,0.0013904726230322,0.0001507850666591,0.0071503327711275,3.813364870348023,0.7844495159840826,0.194462644962044,-6.578111573062105,1.2
1716277648297,324.3171,Cow_boy,-4.666827,-1.020012,0.09990225,Idle,,,-4.845149,-0.1497618,0.3733962,-4.388855,0.01699591,-0.2227036,-0.03401018,0.5942922,0.1820171,,1.333,1.3,,,0.0057850747060539,0.0014799163199976,0.0001208656379572,0.0073858566640088,3.820199899676884,0.7832638743511696,0.2003716545447265,-6.515769733346716,1.3
1716277648380,324.4005,Cow_boy,-4.58344,-1.021263,0.0999044,Idle,,,-4.712483,-0.1613244,0.391738,-4.346114,-0.002892017,-0.2013887,-0.03312031,0.5946924,0.1839314,,1.416,1.4,,,0.0057850747060539,0.0014799163199976,0.0001208656379572,0.0073858566640088,3.826123591761898,0.7832638743511696,0.2003716545447265,-6.515769733346716,1.4
1716277648463,324.4836,Cow_boy,-4.500381,-1.02251,0.09990654,Idle,,,-4.560303,-0.1452286,0.4597636,-4.371203,-0.0404079,-0.1557378,-0.03292191,0.5948365,0.1861524,,1.499,1.5,,,0.0059329235583204,0.0015504969226543,0.0001593829465419,0.0076428034275167,3.8261449842422177,0.7762758279193547,0.2028701820423656,-6.4691798041698,1.5
1716277648547,324.5676,Cow_boy,-4.416324,-1.023771,0.09990869,Idle,,,-4.39257,-0.1063421,0.5053753,-4.41035,-0.08248043,-0.1233852,-0.03290751,0.5944808,0.1889017,,1.583,1.6,,,0.0059329235583204,0.0015504969226543,0.0001593829465419,0.0076428034275167,3.826163859960147,0.7762758279193547,0.2028701820423656,-6.4691798041698,1.6
1716277648630,324.6503,Cow_boy,-4.333675,-1.025012,0.09991083,Idle,,,-4.213284,-0.03603619,0.5099863,-4.443294,-0.09860766,-0.1110889,-0.0331797,0.5939577,0.191166,,1.666,1.7,,,0.0059329235583204,0.0015504969226543,0.0001593829465419,0.0076428034275167,3.826180638376084,0.7762758279193547,0.2028701820423656,-6.4691798041698,1.7
1716277648713,324.7329,Cow_boy,-4.251029,-1.026252,0.09991298,Idle,,,-4.043262,0.01675034,0.5062259,-4.450689,-0.1102331,-0.09287908,-0.03353684,0.5936284,0.1928137,,1.749,1.7,,,0.0059329235583204,0.0015504969226543,0.0001593829465419,0.0076428034275167,3.826180638376084,0.7762758279193547,0.2028701820423656,-6.4691798041698,1.7
1716277648796,324.8166,Cow_boy,-4.167379,-1.027508,0.09991512,Idle,,,-3.904663,0.03444886,0.5189365,-4.412843,-0.119703,-0.06547429,-0.03392852,0.5935539,0.193994,,1.832,1.8,,,0.0059329235583204,0.0015504969226543,0.0001593829465419,0.0076428034275167,3.826195650642975,0.7762758279193547,0.2028701820423656,-6.4691798041698,1.8
1716277648880,324.9001,Cow_boy,-4.08392,-1.02876,0.09991727,Idle,,,-3.822063,0.01218164,0.5293301,-4.31427,-0.1292621,-0.07037189,-0.03441209,0.593356,0.1955341,,1.916,1.9,,,0.0059329235583204,0.0015504969226543,0.0001593829465419,0.0076428034275167,3.8262091616831766,0.7762758279193547,0.2028701820423656,-6.4691798041698,1.9
1716277648963,324.9832,Cow_boy,-4.000793,-1.030008,0.09991942,Idle,,,-3.781869,-0.02210951,0.4885777,-4.157562,-0.1197954,-0.1406142,-0.03511107,0.5928145,0.1972149,,1.999,2.0,,,0.0046668332595708,0.0016555948779687,0.000128994352877,0.0064514224904165,3.778238516875972,0.7233805050751596,0.2566247801051775,-6.403594891855804,2.0
1716277649046,325.0668,Cow_boy,-3.917167,-1.031263,0.09992108,Idle,,,-3.790142,-0.06877816,0.4471382,-3.965944,-0.1089604,-0.2080463,-0.03602943,0.5924991,0.1992999,,2.082,2.1,,,0.0064150125259784,0.0017430315538979,0.0001691879706781,0.0083272320505545,3.773790247456385,0.7703655292698759,0.2093170387610175,-6.352129409396466,2.1
1716277649130,325.1505,Cow_boy,-3.833462,-1.032519,0.09992252,Idle,,,-3.843311,-0.099877,0.429479,-3.745014,-0.04764783,-0.2296025,-0.03753692,0.5919162,0.2016712,,2.166,2.2,,,0.0064150125259784,0.0017430315538979,0.0001691879706781,0.0083272320505545,3.7697287840732834,0.7703655292698759,0.2093170387610175,-6.352129409396466,2.2
1716277649213,325.2332,Cow_boy,-3.750761,-1.033761,0.09992418,Idle,,,-3.877904,-0.1287659,0.3999706,-3.540976,-0.006069183,-0.2361878,-0.03920188,0.5916055,0.2039258,,2.249,2.2,,,0.0064150125259784,0.0017430315538979,0.0001691879706781,0.0083272320505545,3.7697287840732834,0.7703655292698759,0.2093170387610175,-6.352129409396466,2.2
1716277649296,325.3173,Cow_boy,-3.666699,-1.035022,0.09992585,Idle,,,-3.851298,-0.1550184,0.3749376,-3.395046,0.004660487,-0.2303778,-0.04099614,0.5907598,0.2054243,,2.332,2.3,,,0.0064150125259784,0.0017430315538979,0.0001691879706781,0.0083272320505545,3.766005775972108,0.7703655292698759,0.2093170387610175,-6.352129409396466,2.3
1716277649380,325.4001,Cow_boy,-3.583848,-1.036266,0.09992752,Idle,,,-3.73817,-0.1773062,0.3798183,-3.321383,-0.009798288,-0.2096204,-0.04273644,0.5900533,0.206279,,2.416,2.4,,,0.0064150125259784,0.0017430315538979,0.0001691879706781,0.0083272320505545,3.762580608519025,0.7703655292698759,0.2093170387610175,-6.352129409396466,2.4
1716277649464,325.4842,Cow_boy,-3.499819,-1.037527,0.09992943,Idle,,,-3.586092,-0.1674304,0.431543,-3.322343,-0.03678083,-0.1761586,-0.04442561,0.5895327,0.2063878,,2.5,2.5,,,0.0064150125259784,0.0017430315538979,0.0001691879706781,0.0083272320505545,3.759418915485411,0.7703655292698759,0.2093170387610175,-6.352129409396466,2.5
1716277649546,325.5668,Cow_boy,-3.417239,-1.038766,0.09993134,Idle,,,-3.42929,-0.1419144,0.4882668,-3.36235,-0.08267063,-0.1353954,-0.04569081,0.5895672,0.2062749,,2.582,2.6,,,0.0067892945981066,0.0018484524366573,0.0001371427164869,0.0087748897512509,3.756216788258279,0.7737185070773983,0.2106524969608643,-6.293406510696387,2.6
1716277649630,325.6497,Cow_boy,-3.334322,-1.040011,0.09993301,Idle,,,-3.254427,-0.08068621,0.5152582,-3.399317,-0.1096346,-0.1127523,-0.04719962,0.5898554,0.2057713,,2.666,2.7,,,0.0086925123490291,0.0020418015401607,0.0001370094245643,0.0108713233137542,3.774111754077557,0.7995818078588034,0.1878153635240934,-6.193922752914478,2.7
