"","Avatar","id","Animation","Rating","Rating_2","HRV_LFHF_mean","HRV_LFHF_std"
"1","Robot",1,"TouchBody",4,5,1.43254979206556,0.166147650486421
"2","Robot",1,"TouchFace",5,4,2.21374247757505,0.203989839338485
"3","Man",1,"LetfHandToBody",4,5,0.815902402814731,0.072815230946215
"4","Robot",3,"TouchBody",5,3,8.11641334514344,0.392776970256398
"5","Woman",3,"TouchBody",4,5,5.20054545244379,0.982083230389719
"6","Man",3,"TouchFace",3,2,6.07416923322874,0.673747515798881
"7","Robot",3,"TouchFace",3,5,5.92060411387792,1.2540362081645
"8","Woman",3,"TouchFace",5,4,2.65491380417153,0.18845482935762
"9","Robot",5,"TouchBody",1,2,0.734708999764146,0.19110873650743
"10","Woman",5,"TouchBody",3,2,1.09590306121584,0.344658617834046
"11","Robot",5,"TouchFace",2,1,1.72434052004091,0.156851186987333
"12","Woman",5,"TouchFace",2,3,0.589723050799597,0.0638100893460732
"13","Man",5,"RightHandToBody",3,2,1.00004765266071,0.066176178723297
"14","Woman",6,"TouchBody",1,2,2.13373745703473,0.160921961456826
"15","Woman",6,"TouchFace",2,1,6.27323110988881,0.434797118177305
"16","Robot",7,"TouchBody",5,3,5.78926604671289,0.201763975557108
"17","Woman",7,"TouchBody",2,4,10.379330775157,0.317931862665104
"18","Robot",7,"TouchFace",3,5,12.6695710831118,1.26136068358597
"19","Woman",7,"TouchFace",4,2,12.1161691178791,1.76369074940891
"20","Robot",8,"TouchBody",4,3,2.30813328538434,0.487870438451458
"21","Woman",8,"TouchBody",4,3,5.44204415568574,0.709808008906333
"22","Robot",8,"TouchFace",3,4,1.93539818660202,0.204746791253624
"23","Woman",8,"TouchFace",3,4,3.64761517983473,0.292962554793017
"24","Robot",9,"TouchBody",3,4,1.56740695291864,0.124086715285085
"25","Woman",9,"TouchBody",4,3,1.38850350065455,0.294503901037039
"26","Robot",9,"TouchFace",4,3,3.28877036031018,0.264028848779217
"27","Woman",9,"TouchFace",3,4,1.85490785910903,0.17028426034853
"28","Robot",10,"TouchBody",3,4,0.551819919318065,0.191103563309894
"29","Robot",10,"TouchFace",4,3,1.40132019743658,0.297520256099865
"30","Robot",10,"RightHandToBody",3,2,1.24626748433865,0.0870550296982001
"31","Robot",12,"TouchBody",2,5,2.38307370577619,0.273465701837094
"32","Woman",12,"TouchBody",4,2,5.73520130233531,0.323869940785445
"33","Robot",12,"TouchFace",5,2,1.37292891495328,0.18050098218956
"34","Woman",12,"TouchFace",2,4,2.39220065732251,0.531879452447944
"35","Robot",13,"TouchBody",1,3,0.909296399325627,0.0700970708135523
"36","Woman",13,"TouchBody",4,2,2.48041160791566,0.52770223781739
"37","Robot",13,"TouchFace",3,1,1.30311368483326,0.127010134692552
"38","Woman",13,"TouchFace",2,4,1.65800366941742,0.186295922965337
"39","Woman",13,"RightHandToBody",2,3,2.10461561756248,0.277361568731212
"40","Man",13,"LeftHandToFace",3,2,2.91613349998043,0.775561819146464
"41","Woman",14,"TouchBody",3,5,4.61267371077438,1.36794779157498
"42","Woman",14,"TouchFace",5,3,1.01875647846474,0.0426476385112798
"43","Woman",14,"LeftHandToFace",3,2,6.12485719775562,2.49619243982848
"44","Robot",15,"TouchBody",3,4,0.549111319425428,0.248343465111904
"45","Robot",15,"TouchFace",4,3,1.06776875716043,0.0559091268567227
"46","Robot",15,"RightHandToBody",4,3,0.320705311392733,0.0665655086613034
"47","Robot",15,"RightHandToFace",2,3,0.988913426529338,0.151388820557933
"48","Robot",15,"LetfHandToBody",3,4,0.275480532502276,0.00779786546526201
"49","Robot",15,"LeftHandToFace",3,4,0.638403794714057,0.0882366513218825
"50","Robot",16,"RightHandToBody",3,2,6.99209646520118,1.04633064159474
"51","Robot",17,"TouchBody",3,4,1.42649426908091,0.547469144542127
"52","Woman",17,"TouchBody",1,2,3.10613704761057,0.514983124701231
"53","Robot",17,"TouchFace",4,3,2.18354119560789,0.0958270976401491
"54","Woman",17,"TouchFace",2,1,0.735097681451615,0.0478923400844245
"55","Robot",18,"TouchBody",4,3,2.93664553936505,0.283329748079481
"56","Woman",18,"TouchBody",4,3,1.56042597509157,0.292569519457467
