Avatar,id,Animation,Rating
man,1,TouchBody,4
man,2,TouchBody,4
man,3,TouchBody,4
man,4,TouchBody,3
man,5,TouchBody,1
man,6,TouchBody,3
man,7,TouchBody,4
man,8,TouchBody,5
man,9,TouchBody,1
man,10,TouchBody,3
man,11,TouchBody,3
man,12,TouchBody,4
man,13,TouchBody,4
man,14,TouchBody,4
man,15,TouchBody,4
man,16,TouchBody,5
man,17,TouchBody,3
man,18,TouchBody,3
man,19,TouchBody,2
man,20,TouchBody,1
man,21,TouchBody,5
man,22,TouchBody,3
man,23,TouchBody,1
man,24,TouchBody,1
man,25,TouchBody,5
man,26,TouchBody,3
man,27,TouchBody,4
man,28,TouchBody,5
man,29,TouchBody,3
man,30,TouchBody,1
man,31,TouchBody,4
robot,1,TouchBody,4
robot,2,TouchBody,1
robot,3,TouchBody,5
robot,4,TouchBody,3
robot,5,TouchBody,1
robot,6,TouchBody,5
robot,7,TouchBody,5
robot,8,TouchBody,4
robot,9,TouchBody,3
robot,10,TouchBody,3
robot,11,TouchBody,4
robot,12,TouchBody,2
robot,13,TouchBody,1
robot,14,TouchBody,4
robot,15,TouchBody,3
robot,16,TouchBody,5
robot,17,TouchBody,3
robot,18,TouchBody,4
robot,19,TouchBody,2
robot,20,TouchBody,1
robot,21,TouchBody,4
robot,22,TouchBody,3
robot,23,TouchBody,3
robot,24,TouchBody,4
robot,25,TouchBody,5
robot,26,TouchBody,4
robot,27,TouchBody,5
robot,28,TouchBody,2
robot,29,TouchBody,3
robot,30,TouchBody,1
robot,31,TouchBody,3
woman,1,TouchBody,5
woman,2,TouchBody,2
woman,3,TouchBody,4
woman,4,TouchBody,3
woman,5,TouchBody,3
woman,6,TouchBody,1
woman,7,TouchBody,2
woman,8,TouchBody,4
woman,9,TouchBody,4
woman,10,TouchBody,3
woman,11,TouchBody,2
woman,12,TouchBody,4
woman,13,TouchBody,4
woman,14,TouchBody,3
woman,15,TouchBody,5
woman,16,TouchBody,4
woman,17,TouchBody,1
woman,18,TouchBody,4
woman,19,TouchBody,2
woman,20,TouchBody,3
woman,21,TouchBody,5
