Avatar,id,Animation,Rating,HRV_LFHF_mean
Man,1,Walk,3.0,0.47480880778756096
Robot,1,Walk,3.0,1.4977872148120153
Woman,1,Walk,3.0,1.1422562111586725
Man,2,Walk,2.0,1.0051396590282764
Robot,2,Walk,4.0,1.8453590366135222
Woman,2,Walk,2.0,0.9780998131718449
Man,3,Walk,1.0,4.527939153194374
Robot,3,Walk,4.0,7.234109338696389
Woman,3,Walk,1.0,2.230149859857451
Man,4,Walk,3.0,2.4382140821861813
Robot,4,Walk,3.0,2.8036051219976343
Woman,4,Walk,3.0,0.40693980249192574
Man,5,Walk,1.0,0.6718934633573587
Robot,5,Walk,1.0,0.6794241966571236
Woman,5,Walk,2.0,0.9383532899817644
Man,6,Walk,3.0,3.076215361139265
Robot,6,Walk,4.0,2.5380817421335093
Woman,6,Walk,1.0,5.958181553452117
Man,7,Walk,5.0,0.7664453023405771
Robot,7,Walk,5.0,5.951015493319075
Woman,7,Walk,3.0,5.633910830396153
Man,8,Walk,5.0,3.7047155509194205
Robot,8,Walk,4.0,2.390574496109297
Woman,8,Walk,3.0,5.522382035151939
Man,9,Walk,1.0,5.800767642277449
Robot,9,Walk,1.0,2.2604651955619417
Woman,9,Walk,1.0,1.9041364989345393
Man,10,Walk,2.0,0.6468088310258907
Robot,10,Walk,3.0,0.16631350462946815
Woman,10,Walk,1.0,0.8312782701037973
Man,11,Walk,3.0,5.48500600591092
Robot,11,Walk,3.0,1.8852051792584206
Woman,11,Walk,1.0,2.9260112556165745
Man,12,Walk,3.0,1.7782892939167547
Robot,12,Walk,2.0,0.7519012072434846
Woman,12,Walk,3.0,2.4325417276419343
Man,13,Walk,3.0,1.7006047299552984
Robot,13,Walk,1.0,2.735449172856102
Woman,13,Walk,3.0,2.273253783831221
Man,14,Walk,3.0,0.9925517182857155
Robot,14,Walk,4.0,0.9167825699713078
Woman,14,Walk,3.0,2.317222553046561
Man,15,Walk,3.0,0.15687464633314807
Robot,15,Walk,4.0,1.840119774964187
Woman,15,Walk,2.0,0.8404272852959095
Man,16,Walk,4.0,9.879151696132043
Robot,16,Walk,4.0,2.2196966315811535
Woman,16,Walk,3.0,2.3882266478984744
Man,17,Walk,2.0,1.7979768985829876
Robot,17,Walk,4.0,4.721075412430541
Woman,17,Walk,1.0,1.8089647384003067
Man,18,Walk,3.0,4.620781795308611
Robot,18,Walk,4.0,5.332820643401626
Woman,18,Walk,3.0,2.0892381654155106
Man,19,Walk,2.0,1.2851071546574109
Robot,19,Walk,2.0,1.4566431247856606
Woman,19,Walk,1.0,3.053321827484187
Man,20,Walk,2.0,1.3161934533381934
Robot,20,Walk,2.0,2.8150558483406747
Woman,20,Walk,1.0,5.548845879861732
Man,21,Walk,5.0,4.1679862079319046
Robot,21,Walk,3.0,1.1144246885982292
Woman,21,Walk,3.0,2.1129781831845693
Man,22,Walk,4.0,3.349830353060312
Robot,22,Walk,4.0,1.4988651661576662
Woman,22,Walk,3.0,0.8759637723943001
Man,23,Walk,1.0,0.39121279360874195
Robot,23,Walk,1.0,1.1616872530762887
Woman,23,Walk,1.0,2.548981594947997
Man,24,Walk,4.0,2.4694239504841105
Robot,24,Walk,4.0,5.058919266256658
Woman,24,Walk,4.0,6.119398416973232
Man,25,Walk,4.0,1.0303067821558227
Robot,25,Walk,5.0,1.7352735279366664
Woman,25,Walk,2.0,0.8347780090582514
Man,26,Walk,3.0,0.2620328362327601
Robot,26,Walk,2.0,1.2309817994253034
Woman,26,Walk,1.0,0.29356037464873136
Man,27,Walk,4.0,1.2614880345286912
Robot,27,Walk,4.0,1.3923974299138373
Woman,27,Walk,2.0,2.966221309520008
Man,28,Walk,4.0,1.2635145361747255
Robot,28,Walk,2.0,0.4873105138417585
Woman,28,Walk,4.0,2.895839874654269
Man,29,Walk,3.0,1.1631622708470855
Robot,29,Walk,3.0,0.444584370886892
Woman,29,Walk,3.0,0.3719151764606436
Man,30,Walk,1.0,2.72990258760277
Robot,30,Walk,1.0,6.93124274912263
Woman,30,Walk,1.0,3.4615214263469873
Man,31,Walk,3.0,3.7913278214741712
Robot,31,Walk,1.0,2.4228053825169624
Woman,31,Walk,1.0,3.1307085082514994
