time,ecg,hr,rr,marker,norm_time
1716264939745319458,-0.029,,,,0.0
1716264939753013477,-0.019,,,,0.007694019
1716264939760707496,-0.014,,,,0.015388038
1716264939768401515,-0.009,,,,0.023082057
1716264939776095534,-0.007,,,,0.030776076
1716264939783789553,-0.004,,,,0.038470095
1716264939791483572,-0.007,,,,0.046164114
1716264939799177591,-0.009,,,,0.053858133
1716264939806871610,-0.004,,,,0.061552152
1716264939814565629,0.004,,,,0.069246171
1716264939822259648,0.017,,,,0.07694019
1716264939829953667,0.019,,,,0.084634209
1716264939837647686,0.017,,,,0.092328228
1716264939845341705,0.019,,,,0.100022247
1716264939853035724,0.024,,,,0.107716266
1716264939860729743,0.031,,,,0.115410285
1716264939868423762,0.036,,,,0.123104304
1716264939876117781,0.034,,,,0.130798323
1716264939883811800,0.034,,,,0.138492342
1716264939891505819,0.036,,,,0.146186361
1716264939899199838,0.041,,,,0.15388038
1716264939906893857,0.046,,,,0.161574399
1716264939914587876,0.048,,,,0.169268418
1716264939922281895,0.048,,,,0.176962437
1716264939929975914,0.038,,,,0.184656456
1716264939937669933,0.038,,,,0.192350475
1716264939945363952,0.046,,,,0.200044494
1716264939953057971,0.046,,,,0.207738513
1716264939960751990,0.041,,,,0.215432532
1716264939968446009,0.043,,,,0.223126551
1716264939976140028,0.048,,,,0.23082057
1716264939983834047,0.053,,,,0.238514589
1716264939991528066,0.051,,,,0.246208608
1716264939999222085,0.048,,,,0.253902627
1716264940006916104,0.046,,,,0.261596646
1716264940014610123,0.048,,,,0.269290665
1716264940022304142,0.06,,,,0.276984684
1716264940029998161,0.068,,,,0.284678703
1716264940037692180,0.065,,,,0.292372722
1716264940045386199,0.065,,,,0.300066741
1716264940053080218,0.065,,,,0.30776076
1716264940060774237,0.063,,,,0.315454779
1716264940068468256,0.068,,,,0.323148798
1716264940076162275,0.072,,,,0.330842817
1716264940083856294,0.072,,,,0.338536836
1716264940091550313,0.07,,,,0.346230855
1716264940099244332,0.072,,,,0.353924874
1716264940106938351,0.075,,,,0.361618893
1716264940114632370,0.07,,,,0.369312912
1716264940122326389,0.072,,,,0.377006931
1716264940130020408,0.065,,,,0.38470095
1716264940137714427,0.055,,,,0.392394969
1716264940145408446,0.06,,,,0.400088988
1716264940153102465,0.063,,,,0.407783007
1716264940160796484,0.06,,,,0.415477026
1716264940168490503,0.06,,,,0.423171045
1716264940176184522,0.058,,,,0.430865064
1716264940183878541,0.055,,,,0.438559083
