Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time
1715066200226,538.7287,Cow_Girl,-6.00012,-1.0,0.09986936,Idle,,,-6.051883,-0.08533275,0.339239,-5.956733,-0.08143967,-0.1125571,-0.007763484,0.5115168,0.1295118,,0.0
1715066200309,538.8117,Cow_Girl,-5.917106,-1.001246,0.09987139,Idle,,,-5.950972,-0.0819115,0.3512488,-5.87044,-0.07432425,-0.1245302,-0.008466768,0.5112181,0.1297159,,0.083
1715066200391,538.8953,Cow_Girl,-5.833491,-1.002501,0.09987345,Idle,,,-5.909161,-0.08471799,0.3525296,-5.716285,-0.03886551,-0.1522915,-0.009247386,0.5110878,0.1299736,,0.165
1715066200474,538.9792,Cow_Girl,-5.749559,-1.003761,0.09987549,Idle,,,-5.908052,-0.1062474,0.329814,-5.528768,0.01337516,-0.1737466,-0.01013718,0.51095,0.1301539,,0.248
1715066200559,539.0623,Cow_Girl,-5.666541,-1.005007,0.09987748,Idle,,,-5.824646,-0.1314347,0.3238987,-5.416777,0.02279425,-0.1593845,-0.01153753,0.5109456,0.1302656,,0.333
1715066200642,539.1456,Cow_Girl,-5.58331,-1.006256,0.09987951,Idle,,,-5.67954,-0.1272595,0.3621614,-5.398844,0.001701951,-0.1341532,-0.01317994,0.5106804,0.1304891,,0.416
1715066200725,539.2282,Cow_Girl,-5.500667,-1.007497,0.09988154,Idle,,,-5.531196,-0.1051011,0.4264704,-5.429369,-0.03809696,-0.08924144,-0.01462927,0.5100546,0.130782,,0.499
1715066200808,539.312,Cow_Girl,-5.416905,-1.008754,0.09988359,Idle,,,-5.364567,-0.05411911,0.4603702,-5.456936,-0.06760991,-0.06269058,-0.01558602,0.5099378,0.1309108,,0.582
1715066200891,539.3958,Cow_Girl,-5.333152,-1.010011,0.09988556,Idle,,,-5.192336,0.01039982,0.4559714,-5.474238,-0.07660228,-0.05216964,-0.01591035,0.509667,0.1308054,,0.665
1715066200975,539.4787,Cow_Girl,-5.250168,-1.011256,0.09988759,Idle,,,-5.036779,0.04615879,0.4567945,-5.463386,-0.08742279,-0.02653008,-0.01586612,0.5097409,0.1304242,,0.749
1715066201058,539.5626,Cow_Girl,-5.166304,-1.012515,0.09988961,Idle,,,-4.917692,0.0458132,0.4722509,-5.398018,-0.101594,-0.005810969,-0.01551597,0.509764,0.1299233,,0.832
1715066201142,539.6458,Cow_Girl,-5.083095,-1.013764,0.09989164,Idle,,,-4.852085,0.02135432,0.4607103,-5.278082,-0.09764153,-0.04324808,-0.01516788,0.5100279,0.129592,,0.916
1715066201225,539.7277,Cow_Girl,-5.001281,-1.014992,0.09989361,Idle,,,-4.826304,-0.02183115,0.4186319,-5.110144,-0.09313953,-0.1130045,-0.01481118,0.5102444,0.1292645,,0.999
1715066201308,539.811,Cow_Girl,-4.917934,-1.016243,0.09989557,Idle,,,-4.852351,-0.05679256,0.3860537,-4.919267,-0.06313968,-0.165671,-0.0145634,0.5100866,0.1290298,,1.082
1715066201391,539.8953,Cow_Girl,-4.833647,-1.017508,0.09989772,Idle,,,-4.891553,-0.08587009,0.3638831,-4.70851,-0.009536028,-0.1800351,-0.01417021,0.5097853,0.1289672,,1.165
1715066201474,539.9788,Cow_Girl,-4.750202,-1.01876,0.09989987,Idle,,,-4.9041,-0.1135106,0.3360283,-4.529618,0.01610398,-0.179217,-0.0137443,0.5098308,0.1289725,,1.248
1715066201558,540.0618,Cow_Girl,-4.667149,-1.020007,0.09990201,Idle,,,-4.837505,-0.1379716,0.319809,-4.412689,0.01372933,-0.1694674,-0.0131508,0.5095825,0.1291008,,1.332
1715066201642,540.1454,Cow_Girl,-4.583535,-1.021262,0.09990416,Idle,,,-4.707522,-0.1489996,0.3381906,-4.363724,-0.003531933,-0.1487835,-0.01244443,0.5094239,0.1293294,,1.416
1715066201724,540.2277,Cow_Girl,-4.50131,-1.022496,0.09990618,Idle,,,-4.561003,-0.1319983,0.4062319,-4.381387,-0.03699476,-0.1043587,-0.01167882,0.5094517,0.1294717,,1.498
1715066201808,540.311,Cow_Girl,-4.417989,-1.023746,0.09990821,Idle,,,-4.400203,-0.09457308,0.4520102,-4.413261,-0.07486093,-0.07182565,-0.01095391,0.5094596,0.1294908,,1.582
1715066201890,540.3956,Cow_Girl,-4.333384,-1.025016,0.09991036,Idle,,,-4.22758,-0.0291661,0.4565283,-4.436087,-0.08889592,-0.0587249,-0.01030963,0.5093957,0.1295958,,1.664
1715066201974,540.4787,Cow_Girl,-4.250306,-1.026263,0.0999125,Idle,,,-4.062518,0.01952589,0.4523824,-4.438689,-0.100395,-0.03946807,-0.009604584,0.5093824,0.1298581,,1.748
1715066202058,540.5616,Cow_Girl,-4.167371,-1.027507,0.09991453,Idle,,,-3.927089,0.03626287,0.4636343,-4.398201,-0.1091244,-0.0121763,-0.009030602,0.5093522,0.129939,,1.832
1715066202141,540.6458,Cow_Girl,-4.083221,-1.02877,0.09991655,Idle,,,-3.841585,0.01557338,0.4742425,-4.299139,-0.1185346,-0.01676586,-0.008609354,0.5094395,0.130026,,1.915
1715066202224,540.7274,Cow_Girl,-4.001654,-1.029994,0.09991846,Idle,,,-3.800066,-0.01721179,0.4338871,-4.148714,-0.108003,-0.08774569,-0.008083966,0.5093132,0.130381,,1.998
1715066202308,540.8106,Cow_Girl,-3.918396,-1.031244,0.09992037,Idle,,,-3.801775,-0.06069195,0.3932231,-3.967323,-0.0987891,-0.1536458,-0.007346134,0.5094043,0.1308995,,2.082
1715066202391,540.895,Cow_Girl,-3.834069,-1.03251,0.09992228,Idle,,,-3.844639,-0.08929849,0.3758295,-3.757826,-0.04284614,-0.1748597,-0.006535615,0.509464,0.1313978,,2.165
1715066202473,540.9786,Cow_Girl,-3.750342,-1.033766,0.09992418,Idle,,,-3.871979,-0.1182976,0.3465882,-3.56136,-0.00612998,-0.1813957,-0.005797973,0.5095388,0.1318075,,2.247
1715066202558,541.0615,Cow_Girl,-3.667533,-1.035009,0.09992609,Idle,,,-3.844543,-0.14342,0.3215958,-3.420308,0.001826406,-0.1767816,-0.005074808,0.5095944,0.1321673,,2.332
1715066202641,541.1446,Cow_Girl,-3.584404,-1.036257,0.09992824,Idle,,,-3.732731,-0.1647509,0.3264397,-3.342048,-0.01162541,-0.156798,-0.004596319,0.5096891,0.1324798,,2.415
1715066202724,541.2271,Cow_Girl,-3.501902,-1.037495,0.09993014,Idle,,,-3.584628,-0.1537721,0.3789347,-3.338917,-0.03590322,-0.123917,-0.004437903,0.5096661,0.1326208,,2.498
1715066202808,541.3111,Cow_Girl,-3.417932,-1.038755,0.09993181,Idle,,,-3.433552,-0.1293703,0.4347661,-3.367187,-0.07646525,-0.08408966,-0.004553126,0.5098565,0.1324809,,2.582
1715066202891,541.3956,Cow_Girl,-3.333462,-1.040023,0.09993372,Idle,,,-3.264459,-0.07141298,0.4619955,-3.394772,-0.1006255,-0.0605525,-0.004655316,0.5097981,0.132226,,2.665
1715066202973,541.479,Cow_Girl,-3.250047,-1.041275,0.09993539,Idle,,,-3.092795,-0.01189017,0.4544881,-3.406869,-0.110916,-0.04799809,-0.004696636,0.5097627,0.1320901,,2.747
1715066203058,541.5623,Cow_Girl,-3.16671,-1.042526,0.0999373,Idle,,,-2.942757,0.01901758,0.4602264,-3.388839,-0.1192787,-0.01947226,-0.004635354,0.5096479,0.132036,,2.832
1715066203141,541.6453,Cow_Girl,-3.083736,-1.043771,0.09993968,Idle,,,-2.836602,0.01034021,0.4754914,-3.311794,-0.1343951,-0.0059072,-0.004384691,0.5096379,0.1319396,,2.915
1715066203224,541.7276,Cow_Girl,-3.001419,-1.045007,0.09994183,Idle,,,-2.778082,-0.01523507,0.4513939,-3.182476,-0.1255983,-0.05951443,-0.004174864,0.5097404,0.1319041,,2.998
1715066203307,541.8101,Cow_Girl,-2.918969,-1.046244,0.09994373,Idle,,,-2.76123,-0.06251627,0.4084674,-3.008172,-0.1230193,-0.1285235,-0.004098361,0.509784,0.1323378,,3.081
1715066203391,541.8945,Cow_Girl,-2.834504,-1.047511,0.09994564,Idle,,,-2.794081,-0.09336913,0.3832932,-2.811559,-0.08124936,-0.1702608,-0.004257143,0.509702,0.1331529,,3.165
1715066203473,541.9782,Cow_Girl,-2.750831,-1.048767,0.09994755,Idle,,,-2.830734,-0.1226467,0.3582254,-2.603138,-0.03370821,-0.1810326,-0.004507844,0.5095509,0.1339361,,3.247
1715066203558,542.0616,Cow_Girl,-2.66737,-1.05002,0.09994946,Idle,,,-2.832828,-0.1492651,0.3312367,-2.435223,-0.01325643,-0.1776828,-0.004848704,0.5094576,0.1344361,,3.332
1715066203641,542.1453,Cow_Girl,-2.583794,-1.051274,0.09995136,Idle,,,-2.748397,-0.1736427,0.3217107,-2.331206,-0.02050757,-0.1642632,-0.005139695,0.5092311,0.1346833,,3.415
1715066203724,542.2277,Cow_Girl,-2.501306,-1.052512,0.09995327,Idle,,,-2.610801,-0.1779356,0.3467933,-2.296969,-0.03864932,-0.1425356,-0.005379203,0.5091652,0.1347384,,3.498
1715066203807,542.3102,Cow_Girl,-2.418859,-1.053749,0.09995542,Idle,,,-2.464489,-0.1576394,0.4164239,-2.323022,-0.0763706,-0.09700098,-0.005577292,0.509038,0.1347628,,3.581
1715066203890,542.3951,Cow_Girl,-2.333967,-1.055024,0.09995756,Idle,,,-2.299291,-0.1139047,0.4584518,-2.351979,-0.1112896,-0.06523552,-0.00571079,0.5088037,0.1348408,,3.664
1715066203974,542.479,Cow_Girl,-2.250014,-1.056284,0.09995947,Idle,,,-2.126753,-0.04820836,0.4567421,-2.37183,-0.1215422,-0.05523863,-0.005734324,0.5088933,0.1348571,,3.748
1715066204058,542.5624,Cow_Girl,-2.166578,-1.057536,0.09996138,Idle,,,-1.965916,-0.005120635,0.4524117,-2.368591,-0.1329501,-0.03479209,-0.005874491,0.5090287,0.1347319,,3.832
1715066204141,542.6453,Cow_Girl,-2.083695,-1.05878,0.09996352,Idle,,,-1.838536,0.002027154,0.4671427,-2.3154,-0.1442087,-0.008683346,-0.006075435,0.5089555,0.134608,,3.915
