Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time
1715932643691,283.7681,Cow_Girl,-6.000124,-1.0,0.0998684,Idle,,,-6.051722,-0.08532238,0.3391056,-5.956635,-0.08149552,-0.112506,-0.01416583,0.4596103,0.1266201,,0.0
1715932643775,283.8512,Cow_Girl,-5.916995,-1.001248,0.09987044,Idle,,,-5.950809,-0.08184475,0.351295,-5.869888,-0.0741874,-0.1245681,-0.01332418,0.4595359,0.1261801,,0.084
1715932643857,283.9357,Cow_Girl,-5.832545,-1.002515,0.09987251,Idle,,,-5.910068,-0.08501107,0.3522288,-5.712868,-0.03781337,-0.1529009,-0.01247889,0.4596368,0.1261571,,0.166
1715932643941,284.0191,Cow_Girl,-5.749155,-1.003767,0.09987453,Idle,,,-5.908193,-0.1064644,0.329536,-5.5276,0.01378036,-0.1738217,-0.01188019,0.4597044,0.1260763,,0.25
1715932644024,284.1022,Cow_Girl,-5.666027,-1.005015,0.09987653,Idle,,,-5.823396,-0.1315968,0.3240806,-5.416821,0.02254796,-0.1592205,-0.01155048,0.4596028,0.1256726,,0.333
1715932644107,284.1853,Cow_Girl,-5.58296,-1.006261,0.09987856,Idle,,,-5.678647,-0.1270651,0.3628353,-5.399321,0.001466274,-0.1337686,-0.011178,0.4594255,0.1249905,,0.416
1715932644191,284.2678,Cow_Girl,-5.500499,-1.007499,0.09988055,Idle,,,-5.530566,-0.1048875,0.4267278,-5.429824,-0.0383268,-0.08910181,-0.01071353,0.4593768,0.123955,,0.5
1715932644274,284.3507,Cow_Girl,-5.417565,-1.008744,0.09988258,Idle,,,-5.364303,-0.05330729,0.4605404,-5.458815,-0.06771332,-0.06254657,-0.01016226,0.4593422,0.1229278,,0.583
1715932644358,284.4356,Cow_Girl,-5.332671,-1.010018,0.09988467,Idle,,,-5.19105,0.01081479,0.4559079,-5.474519,-0.07676393,-0.05197527,-0.009546847,0.4592918,0.122194,,0.667
1715932644441,284.5185,Cow_Girl,-5.249844,-1.011261,0.09988669,Idle,,,-5.035437,0.04656816,0.4571401,-5.463955,-0.08746988,-0.02584221,-0.009087728,0.4592046,0.1215331,,0.75
1715932644525,284.6018,Cow_Girl,-5.16649,-1.012512,0.09988878,Idle,,,-4.91793,0.04566431,0.4723686,-5.398065,-0.1016438,-0.005817048,-0.008570296,0.4589761,0.1207805,,0.834
1715932644608,284.6859,Cow_Girl,-5.082427,-1.013774,0.09989081,Idle,,,-4.851947,0.0209893,0.4599851,-5.276403,-0.09736621,-0.04453095,-0.008168172,0.4589946,0.1200405,,0.917
1715932644691,284.7676,Cow_Girl,-5.000685,-1.015,0.09989283,Idle,,,-4.828011,-0.02309591,0.4173189,-5.106914,-0.09297192,-0.1151241,-0.008073515,0.4590539,0.1195154,,1.0
